dataset,name,datatype,nseq,mean_nsites
Drosophila,EMGT00050000001748,NT,11,1294.909090909091
Drosophila,EMGT00050000002340,NT,12,1052
Drosophila,EMGT00050000004805,NT,15,2035.2
Drosophila,EMGT00050000001385,NT,11,1815
Drosophila,EMGT00050000004698,NT,9,862.6666666666666
Drosophila,EMGT00050000004102,NT,12,3383.25
Drosophila,EMGT00050000000880,NT,12,2307
Drosophila,EMGT00050000001565,NT,9,4068.3333333333335
Drosophila,EMGT00050000003076,NT,11,1491.2727272727273
Drosophila,EMGT00050000002089,NT,11,1129.6363636363637
Drosophila,EMGT00050000009408,NT,11,768
Drosophila,EMGT00050000001632,NT,10,3575.4
Drosophila,EMGT00050000003192,NT,12,2456.25
Drosophila,EMGT00050000000683,NT,12,1228.5
Drosophila,EMGT00050000008074,NT,12,750.5
Drosophila,EMGT00050000004403,NT,12,2457.25
Drosophila,EMGT00050000001503,NT,24,872.625
Drosophila,EMGT00050000002145,NT,11,4734.545454545455
Drosophila,EMGT00050000002422,NT,12,3301
Drosophila,EMGT00050000000902,NT,11,3058.6363636363635
Drosophila,EMGT00050000007522,NT,12,2107.5
Drosophila,EMGT00050000004307,NT,12,1870.75
Drosophila,EMGT00050000004784,NT,11,1875.8181818181818
Drosophila,EMGT00050000002326,NT,11,1635.5454545454545
Drosophila,EMGT00050000003959,NT,7,954.8571428571429
Drosophila,EMGT00050000001437,NT,12,4253.75
Drosophila,EMGT00050000002195,NT,12,6290
Drosophila,EMGT00050000000486,NT,11,785.4545454545455
Drosophila,EMGT00050000001684,NT,11,2494.909090909091
Drosophila,EMGT00050000008271,NT,86,512.4418604651163
Drosophila,EMGT00050000003917,NT,9,5010.666666666667
Drosophila,EMGT00050000002723,NT,12,2813.25
Drosophila,EMGT00050000001032,NT,12,3034.25
Drosophila,EMGT00050000002244,NT,12,1518.75
Drosophila,EMGT00050000004132,NT,10,9917.1
Drosophila,EMGT00050000000719,NT,13,2466
Drosophila,EMGT00050000004265,NT,7,2079.4285714285716
Drosophila,EMGT00050000001365,NT,11,2185.909090909091
Drosophila,EMGT00050000002474,NT,10,4334.7
Drosophila,EMGT00050000001736,NT,7,3223.714285714286
Drosophila,EMGT00050000000053,NT,10,3983.7
Drosophila,EMGT00050000007127,NT,12,1692.25
Drosophila,EMGT00050000008170,NT,11,915.5454545454545
Drosophila,EMGT00050000000860,NT,12,2560.25
Drosophila,EMGT00050000002294,NT,11,1968.2727272727273
Drosophila,EMGT00050000003941,NT,12,2481
Drosophila,EMGT00050000002617,NT,10,1134.6
Drosophila,EMGT00050000000663,NT,11,1521.5454545454545
Drosophila,EMGT00050000000848,NT,10,1804.8
Drosophila,EMGT00050000000806,NT,10,3540.9
Drosophila,EMGT00050000008241,NT,19,1522.2631578947369
Drosophila,EMGT00050000000362,NT,11,6727.636363636364
Drosophila,EMGT00050000003020,NT,15,1686.8
Drosophila,EMGT00050000001533,NT,12,2461.5
Drosophila,EMGT00050000002222,NT,8,1366.5
Drosophila,EMGT00050000003547,NT,11,2250.818181818182
Drosophila,EMGT00050000000898,NT,10,2110.8
Drosophila,EMGT00050000002091,NT,11,2109.818181818182
Drosophila,EMGT00050000004764,NT,11,5073.818181818182
Drosophila,EMGT00050000004461,NT,12,1724.5
Drosophila,EMGT00050000004106,NT,6,774
Drosophila,EMGT00050000001048,NT,12,5911.25
Drosophila,EMGT00050000000763,NT,10,10123.2
Drosophila,EMGT00050000000687,NT,12,3833
Drosophila,EMGT00050000002394,NT,8,1156.125
Drosophila,EMGT00050000007540,NT,8,2447.25
Drosophila,EMGT00050000001485,NT,11,1799.1818181818182
Drosophila,EMGT00050000005167,NT,11,3457.909090909091
Drosophila,EMGT00050000008144,NT,62,561.1935483870968
Drosophila,EMGT00050000000500,NT,10,2821.5
Drosophila,EMGT00050000000657,NT,10,1788.3
Drosophila,EMGT00050000004801,NT,11,1789.3636363636363
Drosophila,EMGT00050000000619,NT,11,3441.5454545454545
Drosophila,EMGT00050000003108,NT,20,709.35
Drosophila,EMGT00050000007244,NT,10,1380.9
Drosophila,EMGT00050000005230,NT,11,2716.6363636363635
Drosophila,EMGT00050000000528,NT,12,2166.75
Drosophila,EMGT00050000003239,NT,8,1421.25
Drosophila,EMGT00050000009320,NT,66,1213.3636363636363
Drosophila,EMGT00050000004303,NT,11,2578.3636363636365
Drosophila,EMGT00050000007946,NT,10,2088.6
Drosophila,EMGT00050000003447,NT,13,461.3076923076923
Drosophila,EMGT00050000000356,NT,9,3203.6666666666665
Drosophila,EMGT00050000001433,NT,9,1689
