No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,42918.546,117,86071.092,86091.014,86693.050
2,Dayhoff+I,42839.876,118,85915.751,85936.029,86543.026
3,Dayhoff+G4,42336.082,118,84908.164,84928.442,85535.439
4,Dayhoff+I+G4,42327.820,119,84893.639,84914.275,85526.229
5,Dayhoff+F,42831.838,136,85935.676,85962.935,86658.636
6,Dayhoff+F+I,42753.572,137,85781.143,85808.824,86509.419
7,Dayhoff+F+G4,42201.823,137,84677.646,84705.327,85405.922
8,Dayhoff+F+I+G4,42193.074,138,84662.147,84690.253,85395.739
9,mtMAM,45581.294,117,91396.589,91416.511,92018.547
10,mtMAM+I,45475.660,118,91187.321,91207.598,91814.595
11,mtMAM+G4,44145.674,118,88527.349,88547.626,89154.623
12,mtMAM+I+G4,44144.752,119,88527.503,88548.139,89160.093
13,mtMAM+F,42717.547,136,85707.094,85734.354,86430.054
14,mtMAM+F+I,42630.139,137,85534.278,85561.959,86262.554
15,mtMAM+F+G4,41788.158,137,83850.316,83877.996,84578.592
16,mtMAM+F+I+G4,41785.214,138,83846.429,83874.534,84580.021
17,JTT,41052.102,117,82338.204,82358.126,82960.162
18,JTT+I,40984.695,118,82205.390,82225.667,82832.664
19,JTT+G4,40681.140,118,81598.279,81618.557,82225.554
20,JTT+I+G4,40673.189,119,81584.378,81605.014,82216.968
21,JTT+F,40951.849,136,82175.698,82202.958,82898.658
22,JTT+F+I,40888.553,137,82051.106,82078.787,82779.382
23,JTT+F+G4,40561.028,137,81396.057,81423.738,82124.333
24,JTT+F+I+G4,40553.611,138,81383.221,81411.327,82116.813
25,WAG,42397.423,117,85028.845,85048.767,85650.803
26,WAG+I,42318.818,118,84873.636,84893.913,85500.910
27,WAG+G4,41912.529,118,84061.058,84081.335,84688.332
28,WAG+I+G4,41905.203,119,84048.406,84069.042,84680.997
29,WAG+F,42115.424,136,84502.848,84530.107,85225.808
30,WAG+F+I,42044.511,137,84363.022,84390.703,85091.298
31,WAG+F+G4,41602.719,137,83479.438,83507.119,84207.714
32,WAG+F+I+G4,41596.355,138,83468.709,83496.815,84202.301
33,cpREV,42763.923,117,85761.847,85781.769,86383.805
34,cpREV+I,42669.672,118,85575.345,85595.622,86202.619
35,cpREV+G4,42108.979,118,84453.957,84474.235,85081.232
36,cpREV+I+G4,42102.315,119,84442.631,84463.267,85075.221
37,cpREV+F,42311.141,136,84894.282,84921.542,85617.242
38,cpREV+F+I,42223.799,137,84721.599,84749.279,85449.875
39,cpREV+F+G4,41596.313,137,83466.627,83494.308,84194.903
40,cpREV+F+I+G4,41590.498,138,83456.995,83485.101,84190.587
41,mtREV,44614.436,117,89462.872,89482.794,90084.830
42,mtREV+I,44522.915,118,89281.830,89302.107,89909.104
43,mtREV+G4,43706.661,118,87649.322,87669.600,88276.597
44,mtREV+I+G4,43703.751,119,87645.502,87666.138,88278.092
45,mtREV+F,42405.706,136,85083.413,85110.673,85806.373
46,mtREV+F+I,42331.018,137,84936.036,84963.716,85664.312
47,mtREV+F+G4,41673.900,137,83621.801,83649.482,84350.077
48,mtREV+F+I+G4,41670.301,138,83616.602,83644.708,84350.194
49,rtREV,43506.455,117,87246.909,87266.831,87868.868
50,rtREV+I,43409.028,118,87054.055,87074.332,87681.329
51,rtREV+G4,42927.217,118,86090.435,86110.712,86717.709
52,rtREV+I+G4,42918.290,119,86074.579,86095.215,86707.170
53,rtREV+F,43006.822,136,86285.643,86312.903,87008.603
54,rtREV+F+I,42922.072,137,86118.144,86145.825,86846.420
55,rtREV+F+G4,42422.178,137,85118.356,85146.037,85846.632
56,rtREV+F+I+G4,42414.424,138,85104.847,85132.953,85838.439
57,mtART,48239.290,117,96712.579,96732.501,97334.538
58,mtART+I,48068.578,118,96373.157,96393.434,97000.431
59,mtART+G4,46564.654,118,93365.308,93385.586,93992.583
60,mtART+I+G4,46558.398,119,93354.795,93375.431,93987.386
61,mtART+F,45450.720,136,91173.441,91200.701,91896.401
62,mtART+F+I,45327.378,137,90928.757,90956.438,91657.033
63,mtART+F+G4,44129.646,137,88533.293,88560.974,89261.569
64,mtART+F+I+G4,44125.460,138,88526.919,88555.025,89260.511
65,mtZOA,45633.317,117,91500.635,91520.557,92122.593
66,mtZOA+I,45510.548,118,91257.096,91277.373,91884.370
67,mtZOA+G4,44483.780,118,89203.561,89223.838,89830.835
68,mtZOA+I+G4,44478.352,119,89194.704,89215.340,89827.294
69,mtZOA+F,43788.573,136,87849.145,87876.405,88572.105
70,mtZOA+F+I,43691.013,137,87656.025,87683.706,88384.301
71,mtZOA+F+G4,42879.334,137,86032.668,86060.349,86760.944
72,mtZOA+F+I+G4,42873.355,138,86022.711,86050.816,86756.303
73,VT,42203.726,117,84641.451,84661.373,85263.410
74,VT+I,42125.821,118,84487.642,84507.920,85114.917
75,VT+G4,41828.036,118,83892.072,83912.349,84519.346
76,VT+I+G4,41818.464,119,83874.929,83895.564,84507.519
77,VT+F,41901.499,136,84074.998,84102.257,84797.958
78,VT+F+I,41831.657,137,83937.315,83964.995,84665.591
79,VT+F+G4,41503.081,137,83280.161,83307.842,84008.438
80,VT+F+I+G4,41495.295,138,83266.590,83294.696,84000.182
81,LG,43070.761,117,86375.522,86395.444,86997.480
82,LG+I,42979.110,118,86194.220,86214.497,86821.494
83,LG+G4,42548.006,118,85332.011,85352.289,85959.286
84,LG+I+G4,42539.392,119,85316.785,85337.421,85949.375
85,LG+F,42486.889,136,85245.778,85273.038,85968.739
86,LG+F+I,42409.805,137,85093.611,85121.291,85821.887
87,LG+F+G4,41950.505,137,84175.010,84202.690,84903.286
88,LG+F+I+G4,41943.725,138,84163.450,84191.556,84897.042
89,DCMut,42919.700,117,86073.401,86093.323,86695.359
90,DCMut+I,42841.041,118,85918.082,85938.359,86545.356
91,DCMut+G4,42339.170,118,84914.341,84934.618,85541.615
92,DCMut+I+G4,42330.910,119,84899.820,84920.456,85532.410
93,DCMut+F,42831.980,136,85935.959,85963.219,86658.919
94,DCMut+F+I,42753.811,137,85781.622,85809.303,86509.898
95,DCMut+F+G4,42204.251,137,84682.501,84710.182,85410.777
96,DCMut+F+I+G4,42195.516,138,84667.031,84695.137,85400.623
97,PMB,43134.205,117,86502.409,86522.332,87124.368
98,PMB+I,43042.320,118,86320.641,86340.918,86947.915
99,PMB+G4,42691.522,118,85619.044,85639.321,86246.318
100,PMB+I+G4,42680.570,119,85599.140,85619.776,86231.730
101,PMB+F,42812.725,136,85897.449,85924.709,86620.409
102,PMB+F+I,42732.981,137,85739.962,85767.643,86468.239
103,PMB+F+G4,42356.165,137,84986.329,85014.010,85714.605
104,PMB+F+I+G4,42348.153,138,84972.306,85000.411,85705.897
105,HIVb,41401.938,117,83037.875,83057.797,83659.834
106,HIVb+I,41319.775,118,82875.550,82895.827,83502.824
107,HIVb+G4,40896.076,118,82028.153,82048.430,82655.427
108,HIVb+I+G4,40887.879,119,82013.758,82034.394,82646.349
109,HIVb+F,40903.435,136,82078.870,82106.130,82801.830
110,HIVb+F+I,40834.748,137,81943.496,81971.177,82671.772
111,HIVb+F+G4,40406.615,137,81087.230,81114.911,81815.506
112,HIVb+F+I+G4,40401.603,138,81079.206,81107.311,81812.798
113,HIVw,42341.208,117,84916.416,84936.338,85538.374
114,HIVw+I,42266.072,118,84768.144,84788.421,85395.418
115,HIVw+G4,41764.403,118,83764.807,83785.084,84392.081
116,HIVw+I+G4,41757.309,119,83752.619,83773.255,84385.209
117,HIVw+F,41513.194,136,83298.388,83325.648,84021.349
118,HIVw+F+I,41443.665,137,83161.330,83189.011,83889.606
119,HIVw+F+G4,40956.856,137,82187.712,82215.393,82915.988
120,HIVw+F+I+G4,40952.409,138,82180.818,82208.924,82914.410
121,JTTDCMut,41086.627,117,82407.254,82427.176,83029.212
122,JTTDCMut+I,41018.273,118,82272.547,82292.824,82899.821
123,JTTDCMut+G4,40708.203,118,81652.407,81672.684,82279.681
124,JTTDCMut+I+G4,40700.088,119,81638.175,81658.811,82270.765
125,JTTDCMut+F,40978.058,136,82228.117,82255.376,82951.077
126,JTTDCMut+F+I,40913.844,137,82101.688,82129.369,82829.964
127,JTTDCMut+F+G4,40579.730,137,81433.460,81461.141,82161.736
128,JTTDCMut+F+I+G4,40572.236,138,81420.471,81448.577,82154.063
129,FLU,42403.952,117,85041.905,85061.827,85663.863
130,FLU+I,42329.680,118,84895.360,84915.638,85522.635
