No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,23186.816,105,46583.632,46624.931,47052.903
2,Dayhoff+I,22995.796,106,46203.593,46245.756,46677.333
3,Dayhoff+G4,22229.124,106,44670.247,44712.411,45143.988
4,Dayhoff+I+G4,22223.228,107,44660.456,44703.495,45138.665
5,Dayhoff+F,23093.297,124,46434.594,46494.209,46988.781
6,Dayhoff+F+I,22901.914,125,46053.828,46114.521,46612.484
7,Dayhoff+F+G4,22136.803,125,44523.606,44584.300,45082.263
8,Dayhoff+F+I+G4,22131.308,126,44514.616,44576.400,45077.742
9,mtMAM,25245.958,105,50701.917,50743.216,51171.188
10,mtMAM+I,24978.422,106,50168.843,50211.007,50642.584
11,mtMAM+G4,23326.270,106,46864.540,46906.704,47338.281
12,mtMAM+I+G4,23322.034,107,46858.068,46901.107,47336.278
13,mtMAM+F,23668.648,124,47585.296,47644.911,48139.483
14,mtMAM+F+I,23454.000,125,47158.000,47218.694,47716.657
15,mtMAM+F+G4,22251.038,125,44752.076,44812.769,45310.732
16,mtMAM+F+I+G4,22247.328,126,44746.656,44808.440,45309.782
17,JTT,22507.521,105,45225.043,45266.342,45694.314
18,JTT+I,22301.320,106,44814.641,44856.805,45288.381
19,JTT+G4,21579.119,106,43370.238,43412.402,43843.979
20,JTT+I+G4,21575.366,107,43364.732,43407.771,43842.942
21,JTT+F,22459.624,124,45167.249,45226.864,45721.436
22,JTT+F+I,22252.712,125,44755.424,44816.118,45314.081
23,JTT+F+G4,21544.176,125,43338.353,43399.047,43897.009
24,JTT+F+I+G4,21540.423,126,43332.847,43394.631,43895.972
25,WAG,22862.088,105,45934.175,45975.474,46403.447
26,WAG+I,22674.382,106,45560.763,45602.927,46034.504
27,WAG+G4,21974.443,106,44160.886,44203.050,44634.627
28,WAG+I+G4,21971.061,107,44156.123,44199.162,44634.332
29,WAG+F,22824.086,124,45896.171,45955.787,46450.358
30,WAG+F+I,22638.483,125,45526.966,45587.660,46085.623
31,WAG+F+G4,21939.026,125,44128.051,44188.745,44686.707
32,WAG+F+I+G4,21936.078,126,44124.155,44185.939,44687.281
