No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,11847.441,117,23928.882,24037.165,24387.707
2,Dayhoff+I,11661.862,118,23559.723,23670.290,24022.469
3,Dayhoff+G4,11300.072,118,22836.144,22946.711,23298.890
4,Dayhoff+I+G4,11296.908,119,22831.816,22944.701,23298.484
5,Dayhoff+F,11815.690,136,23903.380,24061.279,24436.715
6,Dayhoff+F+I,11617.234,137,23508.468,23669.370,24045.724
7,Dayhoff+F+G4,11236.101,137,22746.201,22907.104,23283.458
8,Dayhoff+F+I+G4,11232.731,138,22741.462,22905.411,23282.640
9,mtMAM,12733.279,117,25700.557,25808.840,26159.382
10,mtMAM+I,12519.835,118,25275.669,25386.236,25738.416
11,mtMAM+G4,11732.459,118,23700.919,23811.486,24163.665
12,mtMAM+I+G4,11731.726,119,23701.452,23814.338,24168.120
13,mtMAM+F,12274.522,136,24821.043,24978.942,25354.378
14,mtMAM+F+I,12061.934,137,24397.869,24558.771,24935.125
15,mtMAM+F+G4,11383.250,137,23040.501,23201.403,23577.757
16,mtMAM+F+I+G4,11379.489,138,23034.978,23198.927,23576.156
17,JTT,11629.997,117,23493.994,23602.277,23952.819
18,JTT+I,11431.452,118,23098.905,23209.472,23561.651
19,JTT+G4,11080.850,118,22397.700,22508.267,22860.447
20,JTT+I+G4,11076.125,119,22390.249,22503.135,22856.917
21,JTT+F,11652.576,136,23577.152,23735.050,24110.487
22,JTT+F+I,11441.759,137,23157.519,23318.421,23694.775
23,JTT+F+G4,11068.839,137,22411.678,22572.580,22948.934
24,JTT+F+I+G4,11063.557,138,22403.114,22567.063,22944.292
25,WAG,11820.614,117,23875.228,23983.511,24334.053
26,WAG+I,11614.166,118,23464.332,23574.899,23927.079
27,WAG+G4,11267.384,118,22770.768,22881.335,23233.515
28,WAG+I+G4,11263.576,119,22765.152,22878.038,23231.820
29,WAG+F,11822.517,136,23917.035,24074.933,24450.369
30,WAG+F+I,11599.278,137,23472.556,23633.459,24009.813
31,WAG+F+G4,11230.401,137,22734.803,22895.705,23272.059
32,WAG+F+I+G4,11225.456,138,22726.912,22890.861,23268.090
33,cpREV,11952.265,117,24138.530,24246.812,24597.354
34,cpREV+I,11759.032,118,23754.065,23864.632,24216.811
35,cpREV+G4,11345.676,118,22927.351,23037.918,23390.097
36,cpREV+I+G4,11343.852,119,22925.704,23038.590,23392.372
37,cpREV+F,11901.073,136,24074.147,24232.045,24607.481
38,cpREV+F+I,11698.619,137,23671.239,23832.141,24208.495
39,cpREV+F+G4,11279.181,137,22832.362,22993.265,23369.619
40,cpREV+F+I+G4,11276.930,138,22829.861,22993.809,23371.038
41,mtREV,12343.414,117,24920.827,25029.109,25379.652
42,mtREV+I,12143.615,118,24523.230,24633.797,24985.976
43,mtREV+G4,11610.227,118,23456.454,23567.021,23919.201
44,mtREV+I+G4,11609.454,119,23456.909,23569.794,23923.577
45,mtREV+F,11930.163,136,24132.325,24290.224,24665.660
46,mtREV+F+I,11739.948,137,23753.896,23914.798,24291.152
47,mtREV+F+G4,11267.719,137,22809.439,22970.341,23346.695
