No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,23472.057,115,47174.115,47196.348,47770.085
2,Dayhoff+I,23184.900,116,46601.800,46624.439,47202.953
3,Dayhoff+G4,22767.160,116,45766.319,45788.958,46367.472
4,Dayhoff+I+G4,22767.180,117,45768.360,45791.408,46374.695
5,Dayhoff+F,23502.389,134,47272.779,47303.414,47967.214
6,Dayhoff+F+I,23195.061,135,46660.123,46691.242,47359.740
7,Dayhoff+F+G4,22742.257,135,45754.515,45785.634,46454.132
8,Dayhoff+F+I+G4,22742.365,136,45756.730,45788.336,46461.529
9,mtMAM,24698.335,115,49626.671,49648.904,50222.641
10,mtMAM+I,24320.767,116,48873.533,48896.172,49474.686
11,mtMAM+G4,23582.035,116,47396.070,47418.709,47997.223
12,mtMAM+I+G4,23579.360,117,47392.720,47415.769,47999.055
13,mtMAM+F,23820.021,134,47908.043,47938.678,48602.478
14,mtMAM+F+I,23463.536,135,47197.072,47228.190,47896.689
15,mtMAM+F+G4,22871.852,135,46013.704,46044.823,46713.322
16,mtMAM+F+I+G4,22871.682,136,46015.364,46046.970,46720.164
17,JTT,23064.308,115,46358.617,46380.850,46954.587
18,JTT+I,22772.651,116,45777.302,45799.940,46378.454
19,JTT+G4,22383.432,116,44998.864,45021.503,45600.017
20,JTT+I+G4,22383.635,117,45001.270,45024.319,45607.605
21,JTT+F,23148.014,134,46564.028,46594.663,47258.463
22,JTT+F+I,22840.923,135,45951.847,45982.965,46651.464
23,JTT+F+G4,22418.041,135,45106.082,45137.201,45805.700
24,JTT+F+I+G4,22418.433,136,45108.866,45140.472,45813.666
25,WAG,23540.379,115,47310.757,47332.990,47906.728
26,WAG+I,23252.280,116,46736.559,46759.198,47337.712
27,WAG+G4,22826.655,116,45885.310,45907.949,46486.463
28,WAG+I+G4,22827.383,117,45888.765,45911.813,46495.100
29,WAG+F,23623.112,134,47514.224,47544.859,48208.659
30,WAG+F+I,23319.762,135,46909.523,46940.642,47609.141
31,WAG+F+G4,22846.407,135,45962.814,45993.933,46662.432
32,WAG+F+I+G4,22847.151,136,45966.301,45997.908,46671.101
33,cpREV,23861.290,115,47952.581,47974.814,48548.551
34,cpREV+I,23541.418,116,47314.836,47337.475,47915.989
35,cpREV+G4,23017.718,116,46267.437,46290.076,46868.589
36,cpREV+I+G4,23018.377,117,46270.753,46293.802,46877.088
37,cpREV+F,24002.043,134,48272.086,48302.721,48966.521
38,cpREV+F+I,23660.326,135,47590.651,47621.770,48290.269
39,cpREV+F+G4,23039.832,135,46349.663,46380.782,47049.281
40,cpREV+F+I+G4,23040.571,136,46353.142,46384.748,47057.942
41,mtREV,24090.561,115,48411.123,48433.356,49007.093
42,mtREV+I,23794.087,116,47820.174,47842.812,48421.326
43,mtREV+G4,23290.167,116,46812.334,46834.973,47413.487
44,mtREV+I+G4,23289.367,117,46812.735,46835.783,47419.070
45,mtREV+F,23558.819,134,47385.638,47416.273,48080.073
46,mtREV+F+I,23265.076,135,46800.151,46831.270,47499.769
47,mtREV+F+G4,22754.677,135,45779.354,45810.473,46478.972
48,mtREV+F+I+G4,22755.252,136,45782.504,45814.110,46487.304
49,rtREV,23749.144,115,47728.287,47750.520,48324.258
50,rtREV+I,23455.246,116,47142.491,47165.130,47743.644
51,rtREV+G4,23008.160,116,46248.320,46270.959,46849.473
52,rtREV+I+G4,23008.625,117,46251.249,46274.298,46857.584
