No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,19740.450,111,39702.899,39731.058,40247.104
2,Dayhoff+I,19310.714,112,38845.428,38874.126,39394.535
3,Dayhoff+G4,18532.817,112,37289.634,37318.332,37838.741
4,Dayhoff+I+G4,18530.626,113,37287.253,37316.497,37841.263
5,Dayhoff+F,19603.712,130,39467.423,39506.844,40104.780
6,Dayhoff+F+I,19170.141,131,38602.282,38642.356,39244.541
7,Dayhoff+F+G4,18388.944,131,37039.889,37079.963,37682.148
8,Dayhoff+F+I+G4,18386.809,132,37037.618,37078.351,37684.780
9,mtMAM,21567.761,111,43357.522,43385.681,43901.727
10,mtMAM+I,20966.830,112,42157.661,42186.359,42706.768
11,mtMAM+G4,19532.558,112,39289.116,39317.814,39838.223
12,mtMAM+I+G4,19533.221,113,39292.442,39321.686,39846.452
13,mtMAM+F,20502.973,130,41265.947,41305.368,41903.303
14,mtMAM+F+I,19943.448,131,40148.896,40188.971,40791.156
15,mtMAM+F+G4,18728.434,131,37718.868,37758.942,38361.127
16,mtMAM+F+I+G4,18728.407,132,37720.813,37761.547,38367.976
17,JTT,19395.038,111,39012.077,39040.236,39556.281
18,JTT+I,18962.515,112,38149.030,38177.728,38698.137
19,JTT+G4,18207.827,112,36639.654,36668.352,37188.761
20,JTT+I+G4,18206.408,113,36638.816,36668.060,37192.826
21,JTT+F,19268.822,130,38797.644,38837.065,39435.000
22,JTT+F+I,18836.230,131,37934.459,37974.533,38576.718
23,JTT+F+G4,18087.891,131,36437.781,36477.855,37080.040
24,JTT+F+I+G4,18086.512,132,36437.023,36477.757,37084.185
25,WAG,19750.023,111,39722.045,39750.204,40266.250
26,WAG+I,19318.659,112,38861.318,38890.016,39410.425
27,WAG+G4,18549.839,112,37323.677,37352.375,37872.784
28,WAG+I+G4,18547.291,113,37320.583,37349.827,37874.593
29,WAG+F,19567.276,130,39394.552,39433.973,40031.909
30,WAG+F+I,19135.255,131,38532.511,38572.585,39174.770
31,WAG+F+G4,18372.343,131,37006.686,37046.760,37648.945
32,WAG+F+I+G4,18369.735,132,37003.470,37044.203,37650.632
33,cpREV,19950.610,111,40123.221,40151.379,40667.425
34,cpREV+I,19502.524,112,39229.048,39257.747,39778.156
35,cpREV+G4,18661.388,112,37546.775,37575.474,38095.882
36,cpREV+I+G4,18659.488,113,37544.977,37574.221,38098.987
37,cpREV+F,19686.741,130,39633.482,39672.903,40270.838
38,cpREV+F+I,19247.205,131,38756.410,38796.484,39398.669
39,cpREV+F+G4,18421.291,131,37104.581,37144.656,37746.841
40,cpREV+F+I+G4,18419.480,132,37102.961,37143.694,37750.123
41,mtREV,20817.827,111,41857.653,41885.812,42401.858
42,mtREV+I,20309.674,112,40843.349,40872.047,41392.456
43,mtREV+G4,19212.759,112,38649.518,38678.217,39198.625
44,mtREV+I+G4,19212.486,113,38650.973,38680.217,39204.983
45,mtREV+F,19934.097,130,40128.194,40167.615,40765.550
46,mtREV+F+I,19461.323,131,39184.645,39224.720,39826.905
47,mtREV+F+G4,18485.465,131,37232.931,37273.005,37875.190
48,mtREV+F+I+G4,18483.794,132,37231.589,37272.322,37878.751
49,rtREV,20217.777,111,40657.554,40685.712,41201.758
50,rtREV+I,19745.758,112,39715.517,39744.215,40264.624
51,rtREV+G4,18906.493,112,38036.986,38065.684,38586.093
52,rtREV+I+G4,18904.265,113,38034.530,38063.774,38588.540
53,rtREV+F,19880.338,130,40020.677,40060.098,40658.033
54,rtREV+F+I,19411.416,131,39084.832,39124.906,39727.091
55,rtREV+F+G4,18565.934,131,37393.868,37433.942,38036.127
56,rtREV+F+I+G4,18563.642,132,37391.284,37432.017,38038.446
57,mtART,21643.509,111,43509.018,43537.177,44053.223
58,mtART+I,21008.307,112,42240.613,42269.312,42789.721
59,mtART+G4,19587.770,112,39399.541,39428.239,39948.648
60,mtART+I+G4,19583.243,113,39392.487,39421.731,39946.497
61,mtART+F,20686.495,130,41632.991,41672.412,42270.347
62,mtART+F+I,20130.652,131,40523.304,40563.378,41165.563
63,mtART+F+G4,18904.706,131,38071.411,38111.485,38713.671
64,mtART+F+I+G4,18902.376,132,38068.752,38109.485,38715.914
65,mtZOA,20762.332,111,41746.664,41774.822,42290.868
66,mtZOA+I,20210.733,112,40645.466,40674.164,41194.573
67,mtZOA+G4,19004.586,112,38233.172,38261.870,38782.279
68,mtZOA+I+G4,19002.927,113,38231.854,38261.098,38785.864
69,mtZOA+F,20092.358,130,40444.716,40484.137,41082.072
70,mtZOA+F+I,19592.533,131,39447.066,39487.140,40089.325
71,mtZOA+F+G4,18558.199,131,37378.397,37418.471,38020.656
72,mtZOA+F+I+G4,18557.373,132,37378.746,37419.479,38025.908
73,VT,19675.530,111,39573.061,39601.219,40117.265
74,VT+I,19240.194,112,38704.388,38733.087,39253.496
75,VT+G4,18511.858,112,37247.716,37276.414,37796.823
76,VT+I+G4,18509.749,113,37245.499,37274.743,37799.509
77,VT+F,19473.873,130,39207.746,39247.168,39845.103
78,VT+F+I,19042.498,131,38346.995,38387.069,38989.254
79,VT+F+G4,18321.578,131,36905.155,36945.230,37547.415
80,VT+F+I+G4,18319.532,132,36903.063,36943.796,37550.225
81,LG,19976.283,111,40174.566,40202.725,40718.770
82,LG+I,19506.932,112,39237.865,39266.563,39786.972
83,LG+G4,18663.385,112,37550.771,37579.469,38099.878
84,LG+I+G4,18660.688,113,37547.377,37576.621,38101.386
85,LG+F,19694.049,130,39648.099,39687.520,40285.455
86,LG+F+I,19235.318,131,38732.636,38772.710,39374.895
87,LG+F+G4,18404.976,131,37071.951,37112.025,37714.211
88,LG+F+I+G4,18402.565,132,37069.130,37109.863,37716.292
89,DCMut,19739.914,111,39701.828,39729.987,40246.033
90,DCMut+I,19310.207,112,38844.414,38873.113,39393.522
91,DCMut+G4,18533.414,112,37290.827,37319.526,37839.934
92,DCMut+I+G4,18530.928,113,37287.855,37317.099,37841.865
93,DCMut+F,19603.006,130,39466.011,39505.433,40103.368
94,DCMut+F+I,19169.456,131,38600.912,38640.986,39243.171
95,DCMut+F+G4,18389.310,131,37040.620,37080.694,37682.879
96,DCMut+F+I+G4,18386.947,132,37037.894,37078.628,37685.057
97,PMB,19949.247,111,40120.495,40148.653,40664.699
98,PMB+I,19492.762,112,39209.523,39238.222,39758.630
99,PMB+G4,18734.342,112,37692.684,37721.383,38241.791
100,PMB+I+G4,18731.787,113,37689.574,37718.818,38243.584
101,PMB+F,19764.698,130,39789.396,39828.817,40426.753
102,PMB+F+I,19318.120,131,38898.240,38938.315,39540.500
103,PMB+F+G4,18570.099,131,37402.197,37442.271,38044.457
104,PMB+F+I+G4,18567.515,132,37399.030,37439.763,38046.192
105,HIVb,20174.336,111,40570.672,40598.831,41114.877
106,HIVb+I,19662.401,112,39548.802,39577.500,40097.909
107,HIVb+G4,18753.972,112,37731.943,37760.642,38281.050
108,HIVb+I+G4,18751.694,113,37729.388,37758.632,38283.398
109,HIVb+F,19854.078,130,39968.156,40007.578,40605.513
110,HIVb+F+I,19347.805,131,38957.610,38997.685,39599.870
111,HIVb+F+G4,18445.220,131,37152.439,37192.514,37794.699
112,HIVb+F+I+G4,18442.726,132,37149.452,37190.186,37796.614
113,HIVw,20797.242,111,41816.484,41844.642,42360.688
114,HIVw+I,20280.676,112,40785.353,40814.051,41334.460
115,HIVw+G4,19388.252,112,39000.503,39029.202,39549.610
116,HIVw+I+G4,19385.369,113,38996.738,39025.982,39550.748
117,HIVw+F,20241.999,130,40743.998,40783.419,41381.354
118,HIVw+F+I,19718.370,131,39698.740,39738.814,40341.000
119,HIVw+F+G4,18846.561,131,37955.121,37995.195,38597.380
120,HIVw+F+I+G4,18842.842,132,37949.683,37990.416,38596.845
121,JTTDCMut,19408.419,111,39038.838,39066.996,39583.042
122,JTTDCMut+I,18976.952,112,38177.904,38206.603,38727.012
123,JTTDCMut+G4,18218.641,112,36661.282,36689.981,37210.389
124,JTTDCMut+I+G4,18217.167,113,36660.334,36689.578,37214.344
125,JTTDCMut+F,19279.321,130,38818.642,38858.063,39455.998
