No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,12583.071,117,25400.142,25428.118,25986.032
2,Dayhoff+I,12239.677,118,24715.353,24743.836,25306.250
3,Dayhoff+G4,11889.808,118,24015.616,24044.099,24606.513
4,Dayhoff+I+G4,11881.407,119,24000.814,24029.809,24596.719
5,Dayhoff+F,12561.524,136,25395.047,25433.543,26076.081
6,Dayhoff+F+I,12207.194,137,24688.387,24727.489,25374.428
7,Dayhoff+F+G4,11841.790,137,23957.580,23996.682,24643.621
8,Dayhoff+F+I+G4,11835.898,138,23947.795,23987.509,24638.844
9,mtMAM,13546.839,117,27327.678,27355.654,27913.567
10,mtMAM+I,13069.572,118,26375.143,26403.626,26966.040
11,mtMAM+G4,12422.199,118,25080.399,25108.881,25671.295
12,mtMAM+I+G4,12409.484,119,25056.967,25085.962,25652.872
13,mtMAM+F,12916.146,136,26104.291,26142.787,26785.325
14,mtMAM+F+I,12469.215,137,25212.430,25251.533,25898.472
15,mtMAM+F+G4,11980.680,137,24235.359,24274.461,24921.400
16,mtMAM+F+I+G4,11968.396,138,24212.791,24252.505,24903.840
17,JTT,12310.320,117,24854.639,24882.615,25440.529
18,JTT+I,11966.580,118,24169.160,24197.642,24760.057
19,JTT+G4,11652.095,118,23540.189,23568.672,24131.086
20,JTT+I+G4,11647.322,119,23532.643,23561.638,24128.548
21,JTT+F,12279.548,136,24831.096,24869.592,25512.130
22,JTT+F+I,11934.569,137,24143.137,24182.240,24829.179
23,JTT+F+G4,11619.157,137,23512.313,23551.416,24198.355
24,JTT+F+I+G4,11615.366,138,23506.732,23546.446,24197.781
25,WAG,12567.949,117,25369.898,25397.874,25955.788
26,WAG+I,12226.559,118,24689.117,24717.600,25280.014
27,WAG+G4,11899.398,118,24034.795,24063.278,24625.692
28,WAG+I+G4,11894.863,119,24027.727,24056.722,24623.631
29,WAG+F,12533.083,136,25338.165,25376.661,26019.199
30,WAG+F+I,12190.573,137,24655.147,24694.249,25341.188
31,WAG+F+G4,11853.105,137,23980.211,24019.313,24666.252
32,WAG+F+I+G4,11849.764,138,23975.528,24015.242,24666.577
33,cpREV,12749.016,117,25732.032,25760.008,26317.922
34,cpREV+I,12402.587,118,25041.174,25069.657,25632.071
35,cpREV+G4,12021.396,118,24278.793,24307.275,24869.689
36,cpREV+I+G4,12014.909,119,24267.818,24296.812,24863.722
37,cpREV+F,12668.943,136,25609.886,25648.382,26290.920
38,cpREV+F+I,12336.084,137,24946.168,24985.271,25632.210
39,cpREV+F+G4,11939.262,137,24152.524,24191.626,24838.565
40,cpREV+F+I+G4,11933.589,138,24143.179,24182.893,24834.227
41,mtREV,13200.655,117,26635.309,26663.285,27221.198
42,mtREV+I,12780.612,118,25797.224,25825.707,26388.121
43,mtREV+G4,12309.143,118,24854.286,24882.769,25445.183
44,mtREV+I+G4,12298.610,119,24835.220,24864.215,25431.125
45,mtREV+F,12665.501,136,25603.002,25641.498,26284.035
46,mtREV+F+I,12279.473,137,24832.946,24872.048,25518.987
47,mtREV+F+G4,11881.516,137,24037.033,24076.135,24723.074
48,mtREV+F+I+G4,11875.720,138,24027.440,24067.154,24718.489
49,rtREV,12790.695,117,25815.390,25843.365,26401.279
50,rtREV+I,12426.618,118,25089.236,25117.719,25680.133
51,rtREV+G4,12071.054,118,24378.108,24406.590,24969.005
52,rtREV+I+G4,12065.496,119,24368.993,24397.988,24964.897
53,rtREV+F,12716.238,136,25704.475,25742.971,26385.509
54,rtREV+F+I,12348.233,137,24970.466,25009.568,25656.507
55,rtREV+F+G4,11991.466,137,24256.931,24296.034,24942.973
56,rtREV+F+I+G4,11987.235,138,24250.470,24290.184,24941.519
57,mtART,13987.926,117,28209.852,28237.828,28795.741
58,mtART+I,13461.302,118,27158.604,27187.087,27749.501
59,mtART+G4,12750.565,118,25737.129,25765.612,26328.026
60,mtART+I+G4,12732.799,119,25703.599,25732.594,26299.503
61,mtART+F,13292.171,136,26856.342,26894.838,27537.376
62,mtART+F+I,12838.145,137,25950.291,25989.393,26636.332
63,mtART+F+G4,12256.506,137,24787.012,24826.114,25473.053
64,mtART+F+I+G4,12242.658,138,24761.317,24801.031,25452.366
65,mtZOA,13434.111,117,27102.222,27130.198,27688.112
