No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,24537.817,121,49317.635,49350.008,49915.519
2,Dayhoff+I,24236.876,122,48717.753,48750.697,49320.578
3,Dayhoff+G4,23622.509,122,47489.017,47521.961,48091.843
4,Dayhoff+I+G4,23609.957,123,47465.914,47499.435,48073.680
5,Dayhoff+F,24450.042,140,49180.084,49224.295,49871.851
6,Dayhoff+F+I,24172.495,141,48626.990,48671.883,49323.698
7,Dayhoff+F+G4,23528.349,141,47338.699,47383.591,48035.407
8,Dayhoff+F+I+G4,23519.492,142,47322.984,47368.565,48024.633
9,mtMAM,25978.836,121,52199.673,52232.046,52797.557
10,mtMAM+I,25715.068,122,51674.137,51707.081,52276.962
11,mtMAM+G4,24385.112,122,49014.223,49047.167,49617.048
12,mtMAM+I+G4,24385.052,123,49016.104,49049.624,49623.870
13,mtMAM+F,25242.720,140,50765.439,50809.650,51457.206
14,mtMAM+F+I,24983.207,141,50248.414,50293.306,50945.121
15,mtMAM+F+G4,23775.703,141,47833.406,47878.298,48530.113
16,mtMAM+F+I+G4,23773.800,142,47831.599,47877.179,48533.248
17,JTT,23891.112,121,48024.225,48056.597,48622.109
18,JTT+I,23622.782,122,47489.565,47522.509,48092.390
19,JTT+G4,23048.034,122,46340.067,46373.011,46942.892
20,JTT+I+G4,23039.252,123,46324.504,46358.025,46932.271
21,JTT+F,23963.360,140,48206.721,48250.931,48898.487
22,JTT+F+I,23700.524,141,47683.048,47727.941,48379.756
23,JTT+F+G4,23079.909,141,46441.817,46486.710,47138.525
24,JTT+F+I+G4,23072.075,142,46428.149,46473.730,47129.798
25,WAG,24223.695,121,48689.389,48721.762,49287.273
26,WAG+I,23967.224,122,48178.449,48211.393,48781.274
27,WAG+G4,23421.900,122,47087.800,47120.744,47690.625
28,WAG+I+G4,23414.036,123,47074.071,47107.592,47681.838
29,WAG+F,24208.265,140,48696.530,48740.740,49388.296
30,WAG+F+I,23968.517,141,48219.035,48263.927,48915.743
31,WAG+F+G4,23385.439,141,47052.879,47097.771,47749.586
32,WAG+F+I+G4,23380.075,142,47044.151,47089.731,47745.800
33,cpREV,24263.193,121,48768.386,48800.759,49366.270
34,cpREV+I,24016.206,122,48276.412,48309.356,48879.237
35,cpREV+G4,23431.465,122,47106.931,47139.875,47709.756
36,cpREV+I+G4,23423.917,123,47093.834,47127.355,47701.601
37,cpREV+F,24227.988,140,48735.976,48780.187,49427.743
38,cpREV+F+I,23979.755,141,48241.509,48286.402,48938.217
39,cpREV+F+G4,23383.267,141,47048.534,47093.427,47745.242
40,cpREV+F+I+G4,23376.394,142,47036.789,47082.369,47738.438
41,mtREV,25323.532,121,50889.064,50921.437,51486.948
42,mtREV+I,25078.382,122,50400.765,50433.709,51003.590
43,mtREV+G4,24147.282,122,48538.564,48571.508,49141.390
44,mtREV+I+G4,24144.130,123,48534.260,48567.781,49142.026
45,mtREV+F,24691.476,140,49662.952,49707.162,50354.718
46,mtREV+F+I,24443.670,141,49169.339,49214.232,49866.047
47,mtREV+F+G4,23569.875,141,47421.749,47466.642,48118.457
48,mtREV+F+I+G4,23567.623,142,47419.245,47464.825,48120.894
49,rtREV,24703.500,121,49649.000,49681.372,50246.884
