No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,25137.578,121,50517.157,50540.222,51151.881
2,Dayhoff+I,24842.061,122,49928.123,49951.588,50568.093
3,Dayhoff+G4,24236.929,122,48717.857,48741.322,49357.827
4,Dayhoff+I+G4,24225.723,123,48697.446,48721.315,49342.662
5,Dayhoff+F,25029.353,140,50338.706,50370.015,51073.098
6,Dayhoff+F+I,24757.626,141,49797.251,49829.032,50536.888
7,Dayhoff+F+G4,24122.523,141,48527.046,48558.827,49266.683
8,Dayhoff+F+I+G4,24113.885,142,48511.771,48544.028,49256.654
9,mtMAM,26590.570,121,53423.140,53446.206,54057.865
10,mtMAM+I,26339.346,122,52922.691,52946.156,53562.661
11,mtMAM+G4,25024.790,122,50293.579,50317.044,50933.549
12,mtMAM+I+G4,25024.996,123,50295.993,50319.861,50941.208
13,mtMAM+F,25834.487,140,51948.973,51980.282,52683.365
14,mtMAM+F+I,25588.267,141,51458.535,51490.316,52198.172
15,mtMAM+F+G4,24398.459,141,49078.918,49110.699,49818.555
16,mtMAM+F+I+G4,24396.291,142,49076.582,49108.839,49821.465
17,JTT,24512.628,121,49267.257,49290.322,49901.981
18,JTT+I,24248.228,122,48740.457,48763.922,49380.427
19,JTT+G4,23679.439,122,47602.877,47626.342,48242.847
20,JTT+I+G4,23671.804,123,47589.607,47613.476,48234.823
21,JTT+F,24568.323,140,49416.645,49447.954,50151.037
22,JTT+F+I,24309.842,141,48901.684,48933.465,49641.321
23,JTT+F+G4,23694.759,141,47671.518,47703.299,48411.156
24,JTT+F+I+G4,23687.422,142,47658.844,47691.102,48403.727
25,WAG,24834.732,121,49911.465,49934.531,50546.189
26,WAG+I,24584.960,122,49413.920,49437.385,50053.890
27,WAG+G4,24036.746,122,48317.493,48340.958,48957.462
28,WAG+I+G4,24031.100,123,48308.200,48332.069,48953.416
29,WAG+F,24802.361,140,49884.722,49916.030,50619.114
30,WAG+F+I,24569.737,141,49421.475,49453.256,50161.112
31,WAG+F+G4,23983.133,141,48248.267,48280.048,48987.904
32,WAG+F+I+G4,23979.169,142,48242.339,48274.596,48987.222
33,cpREV,24891.057,121,50024.115,50047.180,50658.839
34,cpREV+I,24650.754,122,49545.507,49568.972,50185.477
35,cpREV+G4,24056.187,122,48356.373,48379.839,48996.343
36,cpREV+I+G4,24050.498,123,48346.996,48370.865,48992.212
37,cpREV+F,24838.701,140,49957.403,49988.711,50691.795
38,cpREV+F+I,24596.719,141,49475.437,49507.218,50215.074
39,cpREV+F+G4,23989.886,141,48261.772,48293.553,49001.409
40,cpREV+F+I+G4,23984.530,142,48253.060,48285.317,48997.943
41,mtREV,25952.843,121,52147.686,52170.752,52782.411
42,mtREV+I,25719.495,122,51682.991,51706.456,52322.961
43,mtREV+G4,24788.612,122,49821.223,49844.688,50461.193
44,mtREV+I+G4,24785.579,123,49817.158,49841.027,50462.374
45,mtREV+F,25297.999,140,50875.999,50907.307,51610.390
46,mtREV+F+I,25061.574,141,50405.147,50436.928,51144.785
47,mtREV+F+G4,24197.077,141,48676.155,48707.935,49415.792
48,mtREV+F+I+G4,24193.355,142,48670.710,48702.967,49415.593
49,rtREV,25325.660,121,50893.320,50916.386,51528.045
50,rtREV+I,25091.897,122,50427.795,50451.260,51067.764
51,rtREV+G4,24451.765,122,49147.531,49170.996,49787.501
52,rtREV+I+G4,24447.155,123,49140.309,49164.178,49785.525
53,rtREV+F,25262.687,140,50805.373,50836.682,51539.765
54,rtREV+F+I,25030.290,141,50342.579,50374.360,51082.217
55,rtREV+F+G4,24293.158,141,48868.315,48900.096,49607.953
56,rtREV+F+I+G4,24290.016,142,48864.033,48896.290,49608.916
57,mtART,26982.700,121,54207.400,54230.466,54842.124
58,mtART+I,26730.062,122,53704.125,53727.590,54344.095
59,mtART+G4,25378.768,122,51001.535,51025.000,51641.505
60,mtART+I+G4,25380.171,123,51006.341,51030.210,51651.557
61,mtART+F,26309.011,140,52898.021,52929.330,53632.413
62,mtART+F+I,26054.069,141,52390.138,52421.919,53129.775
63,mtART+F+G4,24856.665,141,49995.329,50027.110,50734.967
64,mtART+F+I+G4,24858.042,142,50000.084,50032.341,50744.967
65,mtZOA,25953.397,121,52148.795,52171.860,52783.519
66,mtZOA+I,25714.283,122,51672.566,51696.031,52312.536
67,mtZOA+G4,24629.387,122,49502.774,49526.240,50142.744
68,mtZOA+I+G4,24629.364,123,49504.728,49528.597,50149.944
69,mtZOA+F,25536.478,140,51352.957,51384.265,52087.349
70,mtZOA+F+I,25286.436,141,50854.872,50886.653,51594.509
71,mtZOA+F+G4,24319.596,141,48921.192,48952.973,49660.830
72,mtZOA+F+I+G4,24318.771,142,48921.542,48953.800,49666.425
73,VT,24857.120,121,49956.239,49979.305,50590.964
74,VT+I,24614.336,122,49472.671,49496.136,50112.641
75,VT+G4,24076.393,122,48396.785,48420.250,49036.755
