No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,16726.832,105,33663.663,33707.569,34127.592
2,Dayhoff+I,16357.520,106,32927.040,32971.870,33395.386
3,Dayhoff+G4,15906.527,106,32025.055,32069.885,32493.401
4,Dayhoff+I+G4,15900.038,107,32014.077,32059.843,32486.842
5,Dayhoff+F,16750.591,124,33749.182,33812.706,34297.059
6,Dayhoff+F+I,16383.355,125,33016.710,33081.392,33569.005
7,Dayhoff+F+G4,15908.965,125,32067.931,32132.612,32620.226
8,Dayhoff+F+I+G4,15902.670,126,32057.339,32123.191,32614.053
9,mtMAM,18755.508,105,37721.015,37764.921,38184.944
10,mtMAM+I,18257.376,106,36726.753,36771.583,37195.100
11,mtMAM+G4,16885.136,106,33982.271,34027.101,34450.618
12,mtMAM+I+G4,16873.264,107,33960.528,34006.294,34433.293
13,mtMAM+F,17500.338,124,35248.676,35312.200,35796.553
14,mtMAM+F+I,17047.178,125,34344.356,34409.038,34896.652
15,mtMAM+F+G4,16138.001,125,32526.002,32590.684,33078.298
16,mtMAM+F+I+G4,16132.443,126,32516.885,32582.737,33073.599
17,JTT,16437.502,105,33085.005,33128.910,33548.933
18,JTT+I,16065.657,106,32343.314,32388.144,32811.661
19,JTT+G4,15601.272,106,31414.543,31459.373,31882.890
20,JTT+I+G4,15595.888,107,31405.775,31451.542,31878.540
21,JTT+F,16405.898,124,33059.797,33123.321,33607.674
22,JTT+F+I,16039.136,125,32328.272,32392.954,32880.568
23,JTT+F+G4,15584.127,125,31418.254,31482.936,31970.550
24,JTT+F+I+G4,15578.716,126,31409.431,31475.283,31966.145
25,WAG,16476.028,105,33162.057,33205.962,33625.985
26,WAG+I,16124.390,106,32460.780,32505.610,32929.126
27,WAG+G4,15705.355,106,31622.709,31667.539,32091.056
28,WAG+I+G4,15700.827,107,31615.654,31661.420,32088.419
29,WAG+F,16458.941,124,33165.881,33229.406,33713.758
30,WAG+F+I,16112.750,125,32475.500,32540.181,33027.795
31,WAG+F+G4,15684.669,125,31619.338,31684.019,32171.633
32,WAG+F+I+G4,15680.559,126,31613.117,31678.969,32169.831
33,cpREV,16616.279,105,33442.558,33486.463,33906.486
34,cpREV+I,16246.759,106,32705.518,32750.348,33173.865
35,cpREV+G4,15785.681,106,31783.363,31828.193,32251.709
36,cpREV+I+G4,15778.065,107,31770.130,31815.896,32242.895
37,cpREV+F,16541.420,124,33330.841,33394.365,33878.718
38,cpREV+F+I,16183.725,125,32617.449,32682.131,33169.745
39,cpREV+F+G4,15749.785,125,31749.569,31814.251,32301.865
40,cpREV+F+I+G4,15741.965,126,31735.929,31801.781,32292.643
41,mtREV,17882.893,105,35975.785,36019.691,36439.714
42,mtREV+I,17463.534,106,35139.068,35183.898,35607.414
43,mtREV+G4,16614.912,106,33441.823,33486.653,33910.170
44,mtREV+I+G4,16614.323,107,33442.647,33488.413,33915.412
45,mtREV+F,16848.864,124,33945.728,34009.252,34493.605
46,mtREV+F+I,16460.174,125,33170.348,33235.029,33722.643
47,mtREV+F+G4,15871.380,125,31992.760,32057.442,32545.056
48,mtREV+F+I+G4,15866.093,126,31984.186,32050.038,32540.900
49,rtREV,16816.539,105,33843.078,33886.983,34307.006
50,rtREV+I,16427.544,106,33067.088,33111.918,33535.434
51,rtREV+G4,15918.873,106,32049.746,32094.576,32518.093
