No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,23474.186,115,47178.371,47200.567,47774.516
2,Dayhoff+I,23189.126,116,46610.252,46632.853,47211.581
3,Dayhoff+G4,22773.071,116,45778.143,45800.744,46379.472
4,Dayhoff+I+G4,22773.113,117,45780.225,45803.235,46386.738
5,Dayhoff+F,23505.659,134,47279.318,47309.901,47973.956
6,Dayhoff+F+I,23200.708,135,46671.416,46702.482,47371.238
7,Dayhoff+F+G4,22749.397,135,45768.793,45799.859,46468.616
8,Dayhoff+F+I+G4,22749.533,136,45771.066,45802.619,46476.072
9,mtMAM,24687.947,115,49605.894,49628.090,50202.039
10,mtMAM+I,24313.769,116,48859.538,48882.139,49460.867
11,mtMAM+G4,23576.930,116,47385.861,47408.462,47987.190
12,mtMAM+I+G4,23574.434,117,47382.868,47405.878,47989.381
13,mtMAM+F,23819.380,134,47906.761,47937.344,48601.399
14,mtMAM+F+I,23465.313,135,47200.625,47231.691,47900.448
15,mtMAM+F+G4,22881.117,135,46032.234,46063.300,46732.057
16,mtMAM+F+I+G4,22880.575,136,46033.151,46064.704,46738.157
17,JTT,23070.259,115,46370.519,46392.715,46966.664
18,JTT+I,22781.521,116,45795.041,45817.643,46396.370
19,JTT+G4,22393.151,116,45018.302,45040.903,45619.631
20,JTT+I+G4,22393.344,117,45020.689,45043.699,45627.202
21,JTT+F,23155.770,134,46579.540,46610.124,47274.179
22,JTT+F+I,22851.839,135,45973.678,46004.744,46673.500
23,JTT+F+G4,22429.055,135,45128.109,45159.175,45827.932
24,JTT+F+I+G4,22429.439,136,45130.879,45162.432,45835.885
25,WAG,23550.148,115,47330.296,47352.492,47926.441
26,WAG+I,23265.318,116,46762.636,46785.238,47363.965
27,WAG+G4,22842.447,116,45916.893,45939.494,46518.222
28,WAG+I+G4,22843.061,117,45920.122,45943.132,46526.635
29,WAG+F,23634.081,134,47536.162,47566.745,48230.801
30,WAG+F+I,23334.073,135,46938.146,46969.212,47637.968
31,WAG+F+G4,22862.176,135,45994.353,46025.419,46694.175
32,WAG+F+I+G4,22862.868,136,45997.736,46029.289,46702.743
33,cpREV,23867.545,115,47965.091,47987.287,48561.236
34,cpREV+I,23552.258,116,47336.517,47359.118,47937.846
35,cpREV+G4,23035.545,116,46303.090,46325.691,46904.419
36,cpREV+I+G4,23035.998,117,46305.995,46329.005,46912.508
37,cpREV+F,24009.176,134,48286.352,48316.936,48980.991
38,cpREV+F+I,23671.954,135,47613.907,47644.973,48313.730
39,cpREV+F+G4,23056.269,135,46382.537,46413.603,47082.360
40,cpREV+F+I+G4,23056.963,136,46385.925,46417.478,47090.932
41,mtREV,24084.453,115,48398.907,48421.103,48995.052
42,mtREV+I,23791.427,116,47814.855,47837.456,48416.184
43,mtREV+G4,23289.837,116,46811.674,46834.275,47413.003
44,mtREV+I+G4,23288.923,117,46811.845,46834.855,47418.358
45,mtREV+F,23559.520,134,47387.041,47417.624,48081.679
46,mtREV+F+I,23268.099,135,46806.198,46837.264,47506.021
47,mtREV+F+G4,22763.061,135,45796.122,45827.188,46495.944
48,mtREV+F+I+G4,22763.496,136,45798.993,45830.546,46503.999
49,rtREV,23756.175,115,47742.349,47764.546,48338.494
50,rtREV+I,23466.125,116,47164.251,47186.852,47765.580
51,rtREV+G4,23024.474,116,46280.947,46303.548,46882.276
52,rtREV+I+G4,23024.853,117,46283.707,46306.717,46890.220
53,rtREV+F,23671.913,134,47611.826,47642.409,48306.465
54,rtREV+F+I,23376.062,135,47022.125,47053.191,47721.947
55,rtREV+F+G4,22918.607,135,46107.215,46138.281,46807.037
56,rtREV+F+I+G4,22918.983,136,46109.966,46141.519,46814.973
57,mtART,24849.311,115,49928.622,49950.819,50524.767
58,mtART+I,24444.010,116,49120.019,49142.620,49721.348
59,mtART+G4,23757.968,116,47747.935,47770.536,48349.264
60,mtART+I+G4,23755.366,117,47744.731,47767.741,48351.244
61,mtART+F,23940.371,134,48148.743,48179.326,48843.381
62,mtART+F+I,23594.699,135,47459.398,47490.464,48159.221
63,mtART+F+G4,23022.469,135,46314.938,46346.004,47014.761
64,mtART+F+I+G4,23022.187,136,46316.374,46347.927,47021.380
65,mtZOA,24184.109,115,48598.218,48620.414,49194.363
66,mtZOA+I,23839.982,116,47911.963,47934.564,48513.292
67,mtZOA+G4,23283.071,116,46798.141,46820.742,47399.470
68,mtZOA+I+G4,23280.159,117,46794.317,46817.327,47400.830
69,mtZOA+F,23634.095,134,47536.190,47566.773,48230.829
70,mtZOA+F+I,23314.647,135,46899.293,46930.359,47599.116
71,mtZOA+F+G4,22810.021,135,45890.041,45921.107,46589.864
72,mtZOA+F+I+G4,22809.933,136,45891.865,45923.418,46596.872
73,VT,23397.673,115,47025.345,47047.541,47621.490
74,VT+I,23118.314,116,46468.629,46491.230,47069.958
75,VT+G4,22744.034,116,45720.068,45742.669,46321.397
76,VT+I+G4,22744.054,117,45722.108,45745.118,46328.621
77,VT+F,23469.039,134,47206.079,47236.662,47900.717
78,VT+F+I,23181.310,135,46632.619,46663.685,47332.442
79,VT+F+G4,22772.969,135,45815.939,45847.005,46515.761
80,VT+F+I+G4,22773.146,136,45818.292,45849.845,46523.298
81,LG,23646.223,115,47522.447,47544.643,48118.592
82,LG+I,23348.300,116,46928.600,46951.202,47529.929
83,LG+G4,22913.949,116,46059.898,46082.500,46661.227
84,LG+I+G4,22914.225,117,46062.450,46085.460,46668.963
85,LG+F,23589.195,134,47446.391,47476.974,48141.029
86,LG+F+I,23286.211,135,46842.421,46873.487,47542.244
87,LG+F+G4,22823.454,135,45916.909,45947.975,46616.731
88,LG+F+I+G4,22823.822,136,45919.645,45951.198,46624.651
89,DCMut,23473.654,115,47177.308,47199.504,47773.453
90,DCMut+I,23188.684,116,46609.369,46631.970,47210.698
91,DCMut+G4,22773.539,116,45779.079,45801.680,46380.408
92,DCMut+I+G4,22773.035,117,45780.071,45803.081,46386.584
93,DCMut+F,23504.363,134,47276.726,47307.309,47971.365
94,DCMut+F+I,23199.651,135,46669.302,46700.368,47369.125
95,DCMut+F+G4,22749.431,135,45768.862,45799.928,46468.685
96,DCMut+F+I+G4,22749.079,136,45770.158,45801.711,46475.164
97,PMB,23777.641,115,47785.282,47807.478,48381.427
98,PMB+I,23491.698,116,47215.397,47237.998,47816.726
99,PMB+G4,23116.750,116,46465.501,46488.102,47066.830
100,PMB+I+G4,23116.551,117,46467.101,46490.111,47073.614
