No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,21783.850,99,43765.701,43781.303,44282.662
2,Dayhoff+I,21487.760,100,43175.520,43191.451,43697.704
3,Dayhoff+G4,21278.464,100,42756.929,42772.859,43279.112
4,Dayhoff+I+G4,21273.770,101,42749.539,42765.801,43276.945
5,Dayhoff+F,21544.228,118,43324.456,43346.923,43940.633
6,Dayhoff+F+I,21243.425,119,42724.851,42747.717,43346.249
7,Dayhoff+F+G4,21025.675,119,42289.350,42312.216,42910.748
8,Dayhoff+F+I+G4,21021.222,120,42282.444,42305.713,42909.064
9,mtMAM,22618.675,99,45435.349,45450.952,45952.311
10,mtMAM+I,22221.289,100,44642.579,44658.509,45164.762
11,mtMAM+G4,21866.377,100,43932.755,43948.685,44454.938
12,mtMAM+I+G4,21853.156,101,43908.313,43924.575,44435.718
13,mtMAM+F,21785.094,118,43806.188,43828.655,44422.364
14,mtMAM+F+I,21418.184,119,43074.369,43097.235,43695.767
15,mtMAM+F+G4,21189.562,119,42617.125,42639.991,43238.523
16,mtMAM+F+I+G4,21177.146,120,42594.293,42617.562,43220.913
17,JTT,21354.647,99,42907.293,42922.896,43424.255
18,JTT+I,21056.261,100,42312.522,42328.453,42834.706
19,JTT+G4,20884.560,100,41969.121,41985.051,42491.304
20,JTT+I+G4,20878.776,101,41959.553,41975.815,42486.958
21,JTT+F,21161.950,118,42559.899,42582.366,43176.076
22,JTT+F+I,20862.321,119,41962.642,41985.509,42584.041
23,JTT+F+G4,20679.233,119,41596.466,41619.332,42217.864
24,JTT+F+I+G4,20674.173,120,41588.346,41611.615,42214.966
25,WAG,22001.990,99,44201.979,44217.582,44718.941
26,WAG+I,21695.967,100,43591.934,43607.865,44114.118
27,WAG+G4,21462.290,100,43124.579,43140.510,43646.763
28,WAG+I+G4,21460.002,101,43122.005,43138.267,43649.410
29,WAG+F,21756.417,118,43748.834,43771.301,44365.010
30,WAG+F+I,21442.857,119,43123.715,43146.581,43745.113
31,WAG+F+G4,21196.573,119,42631.146,42654.012,43252.545
32,WAG+F+I+G4,21194.265,120,42628.531,42651.800,43255.151
33,cpREV,22290.942,99,44779.883,44795.486,45296.845
34,cpREV+I,21966.268,100,44132.536,44148.466,44654.719
35,cpREV+G4,21682.527,100,43565.055,43580.985,44087.238
36,cpREV+I+G4,21680.810,101,43563.621,43579.883,44091.026
37,cpREV+F,22014.837,118,44265.674,44288.141,44881.850
38,cpREV+F+I,21683.329,119,43604.657,43627.523,44226.056
39,cpREV+F+G4,21358.443,119,42954.886,42977.752,43576.285
40,cpREV+F+I+G4,21357.074,120,42954.147,42977.416,43580.768
41,mtREV,22210.242,99,44618.483,44634.086,45135.445
42,mtREV+I,21871.837,100,43943.675,43959.605,44465.858
43,mtREV+G4,21657.257,100,43514.515,43530.445,44036.698
44,mtREV+I+G4,21646.138,101,43494.276,43510.538,44021.681
