No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,13986.395,117,28206.790,28243.362,28765.106
2,Dayhoff+I,13790.141,118,27816.283,27853.530,28379.371
3,Dayhoff+G4,13521.432,118,27278.863,27316.110,27841.951
4,Dayhoff+I+G4,13522.504,119,27283.008,27320.937,27850.869
5,Dayhoff+F,13863.551,136,27999.102,28049.732,28648.085
6,Dayhoff+F+I,13659.755,137,27593.511,27644.956,28247.266
7,Dayhoff+F+G4,13377.315,137,27028.630,27080.075,27682.385
8,Dayhoff+F+I+G4,13378.451,138,27032.902,27085.169,27691.429
9,mtMAM,14743.071,117,29720.141,29756.713,30278.458
10,mtMAM+I,14502.237,118,29240.474,29277.721,29803.562
11,mtMAM+G4,14040.398,118,28316.795,28354.042,28879.883
12,mtMAM+I+G4,14038.349,119,28314.698,28352.626,28882.558
13,mtMAM+F,14266.802,136,28805.604,28856.234,29454.587
14,mtMAM+F+I,14017.286,137,28308.572,28360.017,28962.327
15,mtMAM+F+G4,13663.865,137,27601.730,27653.175,28255.485
16,mtMAM+F+I+G4,13662.734,138,27601.469,27653.736,28259.996
17,JTT,13864.958,117,27963.915,28000.488,28522.232
18,JTT+I,13660.244,118,27556.489,27593.735,28119.577
19,JTT+G4,13397.909,118,27031.817,27069.064,27594.906
20,JTT+I+G4,13398.699,119,27035.397,27073.326,27603.258
21,JTT+F,13769.184,136,27810.368,27860.998,28459.351
22,JTT+F+I,13555.139,137,27384.279,27435.724,28038.034
23,JTT+F+G4,13289.574,137,26853.148,26904.593,27506.903
24,JTT+F+I+G4,13290.283,138,26856.567,26908.834,27515.094
25,WAG,14145.847,117,28525.694,28562.266,29084.011
26,WAG+I,13933.291,118,28102.582,28139.829,28665.670
27,WAG+G4,13649.848,118,27535.696,27572.943,28098.785
28,WAG+I+G4,13650.506,119,27539.013,27576.941,28106.873
29,WAG+F,14026.736,136,28325.471,28376.102,28974.454
30,WAG+F+I,13805.851,137,27885.702,27937.147,28539.458
31,WAG+F+G4,13513.443,137,27300.886,27352.331,27954.641
32,WAG+F+I+G4,13514.175,138,27304.350,27356.618,27962.878
33,cpREV,14375.065,117,28984.130,29020.703,29542.447
34,cpREV+I,14135.726,118,28507.452,28544.699,29070.540
35,cpREV+G4,13791.899,118,27819.797,27857.044,28382.886
36,cpREV+I+G4,13792.393,119,27822.785,27860.713,28390.645
37,cpREV+F,14183.448,136,28638.896,28689.526,29287.879
38,cpREV+F+I,13933.585,137,28141.171,28192.616,28794.926
39,cpREV+F+G4,13578.801,137,27431.601,27483.046,28085.356
40,cpREV+F+I+G4,13579.389,138,27434.777,27487.044,28093.305
41,mtREV,14455.679,117,29145.359,29181.931,29703.675
42,mtREV+I,14243.290,118,28722.579,28759.826,29285.668
43,mtREV+G4,13910.649,118,28057.297,28094.544,28620.386
44,mtREV+I+G4,13910.057,119,28058.114,28096.043,28625.975
45,mtREV+F,14098.123,136,28468.246,28518.877,29117.229
46,mtREV+F+I,13867.569,137,28009.138,28060.583,28662.893
47,mtREV+F+G4,13565.951,137,27405.902,27457.347,28059.658
48,mtREV+F+I+G4,13565.862,138,27407.724,27459.991,28066.251
49,rtREV,14315.396,117,28864.791,28901.363,29423.108
50,rtREV+I,14091.247,118,28418.494,28455.741,28981.582
51,rtREV+G4,13799.981,118,27835.963,27873.209,28399.051
52,rtREV+I+G4,13800.117,119,27838.233,27876.162,28406.094
53,rtREV+F,14084.004,136,28440.009,28490.639,29088.992
54,rtREV+F+I,13853.955,137,27981.910,28033.355,28635.665
55,rtREV+F+G4,13560.135,137,27394.269,27445.714,28048.024
56,rtREV+F+I+G4,13560.575,138,27397.150,27449.417,28055.677
57,mtART,14860.219,117,29954.438,29991.011,30512.755
58,mtART+I,14603.059,118,29442.118,29479.365,30005.207
59,mtART+G4,14094.785,118,28425.569,28462.816,28988.658
60,mtART+I+G4,14094.042,119,28426.083,28464.011,28993.943
61,mtART+F,14299.726,136,28871.452,28922.083,29520.436
62,mtART+F+I,14053.681,137,28381.361,28432.806,29035.117
63,mtART+F+G4,13681.123,137,27636.246,27687.691,28290.001
64,mtART+F+I+G4,13680.572,138,27637.143,27689.410,28295.670
65,mtZOA,14428.379,117,29090.759,29127.331,29649.075
66,mtZOA+I,14205.711,118,28647.423,28684.670,29210.511
67,mtZOA+G4,13806.730,118,27849.461,27886.708,28412.549
68,mtZOA+I+G4,13806.113,119,27850.226,27888.154,28418.086
69,mtZOA+F,14040.650,136,28353.299,28403.930,29002.283
70,mtZOA+F+I,13815.042,137,27904.083,27955.528,28557.838
71,mtZOA+F+G4,13502.082,137,27278.165,27329.610,27931.920
72,mtZOA+F+I+G4,13502.127,138,27280.253,27332.520,27938.780
73,VT,14120.309,117,28474.618,28511.190,29032.934
74,VT+I,13911.353,118,28058.706,28095.952,28621.794
75,VT+G4,13647.071,118,27530.143,27567.389,28093.231
76,VT+I+G4,13647.549,119,27533.097,27571.026,28100.958
77,VT+F,13989.324,136,28250.647,28301.278,28899.630
78,VT+F+I,13774.426,137,27822.851,27874.296,28476.606
79,VT+F+G4,13506.090,137,27286.180,27337.625,27939.935
80,VT+F+I+G4,13506.585,138,27289.170,27341.437,27947.697
81,LG,14195.094,117,28624.187,28660.760,29182.504
82,LG+I,13976.798,118,28189.595,28226.842,28752.684
83,LG+G4,13685.704,118,27607.407,27644.654,28170.496
84,LG+I+G4,13686.071,119,27610.142,27648.070,28178.002
85,LG+F,13978.781,136,28229.563,28280.193,28878.546
86,LG+F+I,13756.324,137,27786.649,27838.094,28440.404
87,LG+F+G4,13469.568,137,27213.135,27264.580,27866.891
88,LG+F+I+G4,13470.048,138,27216.096,27268.364,27874.624
89,DCMut,13987.398,117,28208.796,28245.368,28767.112
90,DCMut+I,13791.171,118,27818.341,27855.588,28381.429
91,DCMut+G4,13523.175,118,27282.350,27319.597,27845.439
92,DCMut+I+G4,13523.445,119,27284.889,27322.818,27852.750
93,DCMut+F,13864.208,136,28000.417,28051.047,28649.400
94,DCMut+F+I,13660.482,137,27594.963,27646.408,28248.719
