No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,17127.950,105,34465.900,34504.816,34940.411
2,Dayhoff+I,17067.873,106,34347.746,34387.473,34826.776
3,Dayhoff+G4,16803.577,106,33819.153,33858.880,34298.183
4,Dayhoff+I+G4,16803.377,107,33820.753,33861.301,34304.302
5,Dayhoff+F,17174.117,124,34596.233,34652.291,35156.608
6,Dayhoff+F+I,17106.417,125,34462.835,34519.900,35027.728
7,Dayhoff+F+G4,16808.177,125,33866.355,33923.420,34431.248
8,Dayhoff+F+I+G4,16807.478,126,33866.957,33925.040,34436.369
9,mtMAM,18083.893,105,36377.786,36416.702,36852.297
10,mtMAM+I,18002.081,106,36216.162,36255.888,36695.191
11,mtMAM+G4,17482.934,106,35177.867,35217.594,35656.897
12,mtMAM+I+G4,17481.916,107,35177.832,35218.379,35661.381
13,mtMAM+F,17201.352,124,34650.703,34706.761,35211.077
14,mtMAM+F+I,17111.887,125,34473.774,34530.840,35038.668
15,mtMAM+F+G4,16813.627,125,33877.255,33934.320,34442.148
16,mtMAM+F+I+G4,16812.307,126,33876.615,33934.698,34446.027
17,JTT,16310.010,105,32830.020,32868.936,33304.530
18,JTT+I,16252.445,106,32716.891,32756.617,33195.920
19,JTT+G4,16092.351,106,32396.702,32436.429,32875.731
20,JTT+I+G4,16091.249,107,32396.499,32437.046,32880.048
21,JTT+F,16361.184,124,32970.369,33026.427,33530.743
22,JTT+F+I,16297.490,125,32844.979,32902.045,33409.873
23,JTT+F+G4,16103.824,125,32457.648,32514.713,33022.542
24,JTT+F+I+G4,16102.656,126,32457.313,32515.396,33026.725
25,WAG,16872.387,105,33954.774,33993.691,34429.285
26,WAG+I,16813.638,106,33839.276,33879.003,34318.306
27,WAG+G4,16614.273,106,33440.546,33480.273,33919.575
28,WAG+I+G4,16613.705,107,33441.411,33481.958,33924.959
29,WAG+F,16984.108,124,34216.216,34272.274,34776.590
30,WAG+F+I,16920.364,125,34090.727,34147.792,34655.620
31,WAG+F+G4,16668.092,125,33586.184,33643.249,34151.077
32,WAG+F+I+G4,16667.369,126,33586.739,33644.822,34156.151
33,cpREV,16890.778,105,33991.556,34030.472,34466.066
34,cpREV+I,16832.141,106,33876.282,33916.009,34355.312
35,cpREV+G4,16577.013,106,33366.027,33405.754,33845.056
36,cpREV+I+G4,16576.861,107,33367.722,33408.269,33851.271
37,cpREV+F,17112.505,124,34473.009,34529.067,35033.383
38,cpREV+F+I,17049.694,125,34349.389,34406.454,34914.282
39,cpREV+F+G4,16687.031,125,33624.062,33681.128,34188.956
40,cpREV+F+I+G4,16686.995,126,33625.990,33684.073,34195.403
41,mtREV,17730.647,105,35671.293,35710.209,36145.804
42,mtREV+I,17660.371,106,35532.742,35572.468,36011.771
43,mtREV+G4,17356.593,106,34925.185,34964.912,35404.215
44,mtREV+I+G4,17356.102,107,34926.203,34966.751,35409.752
45,mtREV+F,17089.190,124,34426.380,34482.437,34986.754
46,mtREV+F+I,17016.239,125,34282.479,34339.544,34847.372
47,mtREV+F+G4,16721.540,125,33693.081,33750.146,34257.974
48,mtREV+F+I+G4,16720.988,126,33693.975,33752.059,34263.388
49,rtREV,17335.674,105,34881.348,34920.264,35355.859
50,rtREV+I,17266.507,106,34745.015,34784.741,35224.044
51,rtREV+G4,17071.506,106,34355.013,34394.739,34834.042
52,rtREV+I+G4,17070.407,107,34354.815,34395.362,34838.363
53,rtREV+F,17302.216,124,34852.431,34908.489,35412.806
54,rtREV+F+I,17230.620,125,34711.239,34768.305,35276.133
55,rtREV+F+G4,17007.947,125,34265.895,34322.960,34830.788
56,rtREV+F+I+G4,17006.848,126,34265.696,34323.779,34835.108
57,mtART,18892.399,105,37994.799,38033.715,38469.309
58,mtART+I,18783.058,106,37778.117,37817.843,38257.146
59,mtART+G4,18226.913,106,36665.826,36705.553,37144.856
60,mtART+I+G4,18226.269,107,36666.539,36707.086,37150.088
61,mtART+F,17946.643,124,36141.286,36197.344,36701.660
62,mtART+F+I,17861.348,125,35972.696,36029.761,36537.589
63,mtART+F+G4,17494.561,125,35239.122,35296.187,35804.016
64,mtART+F+I+G4,17494.500,126,35241.000,35299.084,35810.413
