No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,16956.899,105,34123.798,34171.464,34580.641
2,Dayhoff+I,16578.545,106,33369.089,33417.767,33830.283
3,Dayhoff+G4,16114.053,106,32440.106,32488.784,32901.300
4,Dayhoff+I+G4,16107.020,107,32428.041,32477.744,32893.586
5,Dayhoff+F,16983.699,124,34215.398,34284.594,34754.908
6,Dayhoff+F+I,16608.351,125,33466.703,33537.173,34010.563
7,Dayhoff+F+G4,16116.492,125,32482.983,32553.453,33026.844
8,Dayhoff+F+I+G4,16110.354,126,32472.708,32544.466,33020.920
9,mtMAM,19049.296,105,38308.593,38356.258,38765.436
10,mtMAM+I,18562.782,106,37337.564,37386.242,37798.758
11,mtMAM+G4,17147.402,106,34506.804,34555.482,34967.998
12,mtMAM+I+G4,17136.506,107,34487.012,34536.716,34952.557
13,mtMAM+F,17774.883,124,35797.767,35866.963,36337.277
14,mtMAM+F+I,17320.989,125,34891.979,34962.448,35435.839
15,mtMAM+F+G4,16384.509,125,33019.019,33089.488,33562.879
16,mtMAM+F+I+G4,16378.237,126,33008.473,33080.231,33556.685
17,JTT,16658.866,105,33527.733,33575.398,33984.576
18,JTT+I,16282.927,106,32777.854,32826.532,33239.047
19,JTT+G4,15807.091,106,31826.182,31874.860,32287.376
20,JTT+I+G4,15801.355,107,31816.710,31866.413,32282.254
21,JTT+F,16624.359,124,33496.718,33565.915,34036.228
22,JTT+F+I,16253.372,125,32756.743,32827.213,33300.604
23,JTT+F+G4,15786.585,125,31823.170,31893.639,32367.030
24,JTT+F+I+G4,15780.916,126,31813.832,31885.590,32362.043
25,WAG,16693.437,105,33596.874,33644.540,34053.717
26,WAG+I,16339.084,106,32890.168,32938.846,33351.362
27,WAG+G4,15905.625,106,32023.251,32071.929,32484.445
28,WAG+I+G4,15901.108,107,32016.216,32065.919,32481.760
29,WAG+F,16673.391,124,33594.783,33663.979,34134.293
30,WAG+F+I,16325.389,125,32900.778,32971.247,33444.638
31,WAG+F+G4,15882.507,125,32015.014,32085.484,32558.875
32,WAG+F+I+G4,15878.486,126,32008.972,32080.730,32557.183
33,cpREV,16846.380,105,33902.760,33950.426,34359.603
34,cpREV+I,16480.894,106,33173.787,33222.466,33634.981
35,cpREV+G4,16000.609,106,32213.218,32261.896,32674.411
36,cpREV+I+G4,15993.333,107,32200.667,32250.370,32666.212
37,cpREV+F,16768.975,124,33785.949,33855.146,34325.459
38,cpREV+F+I,16412.388,125,33074.775,33145.245,33618.636
39,cpREV+F+G4,15959.164,125,32168.327,32238.797,32712.188
40,cpREV+F+I+G4,15951.308,126,32154.615,32226.373,32702.827
41,mtREV,18131.386,105,36472.772,36520.438,36929.615
42,mtREV+I,17716.107,106,35644.214,35692.892,36105.408
43,mtREV+G4,16838.480,106,33888.960,33937.638,34350.154
44,mtREV+I+G4,16837.393,107,33888.786,33938.490,34354.331
45,mtREV+F,17082.160,124,34412.321,34481.517,34951.830
46,mtREV+F+I,16692.317,125,33634.635,33705.105,34178.496
47,mtREV+F+G4,16083.450,125,32416.900,32487.370,32960.761
48,mtREV+F+I+G4,16078.339,126,32408.678,32480.436,32956.890
49,rtREV,17029.970,105,34269.939,34317.605,34726.782
50,rtREV+I,16641.844,106,33495.687,33544.365,33956.881
51,rtREV+G4,16118.350,106,32448.700,32497.378,32909.894
52,rtREV+I+G4,16113.639,107,32441.277,32490.980,32906.822
53,rtREV+F,16906.501,124,34061.001,34130.198,34600.511
