No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,46052.755,119,92343.510,92375.173,92930.122
2,Dayhoff+I,45496.511,120,91233.021,91265.252,91824.563
3,Dayhoff+G4,44341.240,120,88922.480,88954.711,89514.022
4,Dayhoff+I+G4,44300.675,121,88843.350,88876.155,89439.822
5,Dayhoff+F,46153.649,138,92583.298,92626.745,93263.571
6,Dayhoff+F+I,45610.177,139,91498.354,91542.481,92183.557
7,Dayhoff+F+G4,44414.230,139,89106.460,89150.587,89791.663
8,Dayhoff+F+I+G4,44375.808,140,89031.617,89076.429,89721.749
9,mtMAM,50462.892,119,101163.784,101195.447,101750.397
10,mtMAM+I,49881.021,120,100002.042,100034.273,100593.584
11,mtMAM+G4,46525.928,120,93291.857,93324.088,93883.399
12,mtMAM+I+G4,46512.137,121,93266.274,93299.079,93862.746
13,mtMAM+F,47673.736,138,95623.472,95666.919,96303.745
14,mtMAM+F+I,47122.662,139,94523.324,94567.451,95208.527
15,mtMAM+F+G4,44752.728,139,89783.457,89827.584,90468.660
16,mtMAM+F+I+G4,44734.685,140,89749.370,89794.182,90439.502
17,JTT,45207.763,119,90653.526,90685.189,91240.138
18,JTT+I,44671.183,120,89582.367,89614.598,90173.909
19,JTT+G4,43495.249,120,87230.498,87262.729,87822.040
20,JTT+I+G4,43462.630,121,87167.261,87200.065,87763.732
21,JTT+F,45321.372,138,90918.743,90962.190,91599.016
22,JTT+F+I,44794.629,139,89867.258,89911.385,90552.461
23,JTT+F+G4,43602.373,139,87482.746,87526.873,88167.948
24,JTT+F+I+G4,43571.646,140,87423.291,87468.104,88113.423
25,WAG,45323.683,119,90885.366,90917.029,91471.979
26,WAG+I,44791.989,120,89823.979,89856.210,90415.521
27,WAG+G4,43755.733,120,87751.466,87783.696,88343.008
28,WAG+I+G4,43717.715,121,87677.431,87710.235,88273.902
29,WAG+F,45358.959,138,90993.917,91037.365,91674.191
30,WAG+F+I,44841.456,139,89960.913,90005.040,90646.116
31,WAG+F+G4,43779.069,139,87836.137,87880.264,88521.340
32,WAG+F+I+G4,43743.222,140,87766.443,87811.256,88456.576
33,cpREV,45406.825,119,91051.650,91083.313,91638.263
34,cpREV+I,44930.726,120,90101.452,90133.683,90692.994
35,cpREV+G4,43869.451,120,87978.903,88011.134,88570.445
36,cpREV+I+G4,43833.469,121,87908.938,87941.742,88505.409
37,cpREV+F,45188.093,138,90652.186,90695.634,91332.460
38,cpREV+F+I,44719.288,139,89716.576,89760.703,90401.779
39,cpREV+F+G4,43712.469,139,87702.938,87747.064,88388.140
40,cpREV+F+I+G4,43675.611,140,87631.223,87676.035,88321.355
41,mtREV,48342.727,119,96923.454,96955.117,97510.066
42,mtREV+I,47844.516,120,95929.031,95961.262,96520.573
43,mtREV+G4,45842.400,120,91924.801,91957.032,92516.343
44,mtREV+I+G4,45822.519,121,91887.039,91919.843,92483.510
45,mtREV+F,46070.419,138,92416.838,92460.285,93097.111
46,mtREV+F+I,45579.198,139,91436.395,91480.522,92121.598
47,mtREV+F+G4,44136.110,139,88550.220,88594.347,89235.423
48,mtREV+F+I+G4,44106.386,140,88492.772,88537.585,89182.904
49,rtREV,46131.853,119,92501.705,92533.368,93088.318
50,rtREV+I,45612.077,120,91464.154,91496.385,92055.696
51,rtREV+G4,44341.088,120,88922.177,88954.408,89513.719
52,rtREV+I+G4,44307.836,121,88857.673,88890.477,89454.144
53,rtREV+F,46036.448,138,92348.895,92392.343,93029.169
54,rtREV+F+I,45529.184,139,91336.368,91380.495,92021.571
55,rtREV+F+G4,44222.644,139,88723.288,88767.415,89408.491
56,rtREV+F+I+G4,44193.178,140,88666.355,88711.168,89356.487
57,mtART,50782.544,119,101803.087,101834.750,102389.700
58,mtART+I,50189.086,120,100618.173,100650.404,101209.715
59,mtART+G4,47061.686,120,94363.372,94395.602,94954.914
60,mtART+I+G4,47045.773,121,94333.546,94366.350,94930.018
61,mtART+F,48171.088,138,96618.177,96661.624,97298.450
62,mtART+F+I,47624.088,139,95526.175,95570.302,96211.378
63,mtART+F+G4,45430.360,139,91138.719,91182.846,91823.922
64,mtART+F+I+G4,45410.170,140,91100.341,91145.153,91790.473
65,mtZOA,48815.398,119,97868.796,97900.459,98455.408
66,mtZOA+I,48279.464,120,96798.928,96831.159,97390.470
67,mtZOA+G4,45764.578,120,91769.156,91801.387,92360.698
68,mtZOA+I+G4,45751.703,121,91745.406,91778.210,92341.877
69,mtZOA+F,46818.430,138,93912.860,93956.307,94593.133
70,mtZOA+F+I,46304.872,139,92887.745,92931.872,93572.947
71,mtZOA+F+G4,44564.886,139,89407.771,89451.898,90092.974
72,mtZOA+F+I+G4,44544.462,140,89368.924,89413.736,90059.056
73,VT,45468.899,119,91175.799,91207.462,91762.411
74,VT+I,44937.028,120,90114.057,90146.287,90705.599
75,VT+G4,43880.694,120,88001.388,88033.619,88592.930
76,VT+I+G4,43846.378,121,87934.757,87967.561,88531.228
77,VT+F,45545.881,138,91367.762,91411.210,92048.036
78,VT+F+I,45025.605,139,90329.210,90373.337,91014.413
79,VT+F+G4,43967.628,139,88213.256,88257.383,88898.459
80,VT+F+I+G4,43934.892,140,88149.784,88194.597,88839.916
81,LG,45604.300,119,91446.601,91478.264,92033.213
82,LG+I,45059.697,120,90359.394,90391.625,90950.936
83,LG+G4,43764.015,120,87768.030,87800.261,88359.572
84,LG+I+G4,43732.134,121,87706.268,87739.073,88302.740
85,LG+F,45601.099,138,91478.197,91521.644,92158.470
86,LG+F+I,45074.908,139,90427.816,90471.943,91113.019
87,LG+F+G4,43761.507,139,87801.014,87845.141,88486.217
88,LG+F+I+G4,43732.398,140,87744.797,87789.609,88434.929
89,DCMut,46053.411,119,92344.822,92376.485,92931.434
90,DCMut+I,45497.243,120,91234.486,91266.717,91826.028
91,DCMut+G4,44343.554,120,88927.108,88959.339,89518.650
92,DCMut+I+G4,44303.036,121,88848.072,88880.876,89444.544
93,DCMut+F,46154.854,138,92585.708,92629.155,93265.981
94,DCMut+F+I,45611.336,139,91500.673,91544.800,92185.876
95,DCMut+F+G4,44416.925,139,89111.851,89155.978,89797.054
96,DCMut+F+I+G4,44378.531,140,89037.062,89081.875,89727.195
97,PMB,46112.598,119,92463.195,92494.858,93049.808
98,PMB+I,45563.415,120,91366.830,91399.061,91958.372
99,PMB+G4,44431.082,120,89102.164,89134.395,89693.706
100,PMB+I+G4,44397.050,121,89036.099,89068.904,89632.571
101,PMB+F,46200.511,138,92677.023,92720.470,93357.296
102,PMB+F+I,45661.783,139,91601.565,91645.692,92286.768
103,PMB+F+G4,44554.858,139,89387.715,89431.842,90072.918
104,PMB+F+I+G4,44520.995,140,89321.989,89366.802,90012.122
105,HIVb,46240.022,119,92718.043,92749.706,93304.656
106,HIVb+I,45635.102,120,91510.205,91542.436,92101.747
107,HIVb+G4,44204.731,120,88649.461,88681.692,89241.003
108,HIVb+I+G4,44169.340,121,88580.680,88613.484,89177.151
109,HIVb+F,46148.878,138,92573.757,92617.204,93254.030
110,HIVb+F+I,45549.315,139,91376.629,91420.756,92061.832
111,HIVb+F+G4,44080.711,139,88439.421,88483.548,89124.624
112,HIVb+F+I+G4,44047.598,140,88375.195,88420.008,89065.328
113,HIVw,47645.812,119,95529.623,95561.286,96116.236
114,HIVw+I,47057.470,120,94354.939,94387.170,94946.481
115,HIVw+G4,45600.166,120,91440.333,91472.563,92031.875
116,HIVw+I+G4,45568.459,121,91378.918,91411.722,91975.389
