No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,19368.215,99,38934.430,38970.628,39377.193
2,Dayhoff+I,18915.197,100,38030.395,38067.391,38477.629
3,Dayhoff+G4,18202.321,100,36604.642,36641.639,37051.877
4,Dayhoff+I+G4,18186.787,101,36575.574,36613.380,37027.281
5,Dayhoff+F,19246.965,118,38729.929,38783.119,39257.666
6,Dayhoff+F+I,18783.395,119,37804.790,37858.983,38336.999
7,Dayhoff+F+G4,18057.125,119,36352.250,36406.444,36884.460
8,Dayhoff+F+I+G4,18043.150,120,36326.301,36381.510,36862.982
9,mtMAM,20882.727,99,41963.455,41999.652,42406.217
10,mtMAM+I,20274.497,100,40748.995,40785.991,41196.229
11,mtMAM+G4,18753.792,100,37707.583,37744.579,38154.818
12,mtMAM+I+G4,18747.211,101,37696.423,37734.228,38148.129
13,mtMAM+F,19875.296,118,39986.593,40039.782,40514.330
14,mtMAM+F+I,19303.165,119,38844.331,38898.524,39376.540
15,mtMAM+F+G4,18103.093,119,36444.186,36498.379,36976.395
16,mtMAM+F+I+G4,18096.976,120,36433.953,36489.162,36970.634
17,JTT,18736.787,99,37671.573,37707.771,38114.336
18,JTT+I,18291.844,100,36783.689,36820.685,37230.923
19,JTT+G4,17667.607,100,35535.214,35572.211,35982.449
20,JTT+I+G4,17655.168,101,35512.336,35550.141,35964.043
21,JTT+F,18683.073,118,37602.146,37655.336,38129.883
22,JTT+F+I,18230.510,119,36699.019,36753.213,37231.229
23,JTT+F+G4,17606.249,119,35450.499,35504.692,35982.708
24,JTT+F+I+G4,17594.441,120,35428.882,35484.091,35965.563
25,WAG,19035.864,99,38269.728,38305.926,38712.490
26,WAG+I,18597.632,100,37395.263,37432.259,37842.498
27,WAG+G4,17984.716,100,36169.431,36206.428,36616.666
28,WAG+I+G4,17968.733,101,36139.467,36177.272,36591.174
29,WAG+F,18923.098,118,38082.196,38135.386,38609.933
30,WAG+F+I,18481.382,119,37200.764,37254.958,37732.974
31,WAG+F+G4,17855.422,119,35948.844,36003.038,36481.054
32,WAG+F+I+G4,17839.537,120,35919.074,35974.283,36455.755
33,cpREV,19202.378,99,38602.756,38638.954,39045.518
34,cpREV+I,18739.288,100,37678.576,37715.572,38125.810
35,cpREV+G4,18024.062,100,36248.124,36285.121,36695.359
36,cpREV+I+G4,18008.450,101,36218.900,36256.705,36670.607
37,cpREV+F,19074.218,118,38384.435,38437.625,38912.172
38,cpREV+F+I,18613.350,119,37464.701,37518.895,37996.910
39,cpREV+F+G4,17904.990,119,36047.979,36102.173,36580.189
40,cpREV+F+I+G4,17889.964,120,36019.929,36075.138,36556.610
41,mtREV,20160.189,99,40518.377,40554.575,40961.140
42,mtREV+I,19640.664,100,39481.328,39518.324,39928.562
43,mtREV+G4,18598.450,100,37396.900,37433.896,37844.135
44,mtREV+I+G4,18583.368,101,37368.735,37406.541,37820.442
45,mtREV+F,19365.383,118,38966.767,39019.956,39494.503
46,mtREV+F+I,18875.836,119,37989.672,38043.866,38521.881
47,mtREV+F+G4,17991.493,119,36220.986,36275.180,36753.195
48,mtREV+F+I+G4,17980.065,120,36200.130,36255.339,36736.812
49,rtREV,19579.693,99,39357.386,39393.583,39800.148
50,rtREV+I,19085.525,100,38371.050,38408.046,38818.285
51,rtREV+G4,18365.533,100,36931.065,36968.062,37378.300
52,rtREV+I+G4,18343.897,101,36889.794,36927.600,37341.501
53,rtREV+F,19451.230,118,39138.461,39191.650,39666.198
54,rtREV+F+I,18951.976,119,38141.953,38196.146,38674.162
55,rtREV+F+G4,18214.641,119,36667.282,36721.475,37199.491
56,rtREV+F+I+G4,18197.684,120,36635.368,36690.577,37172.049
57,mtART,21764.864,99,43727.729,43763.926,44170.491
58,mtART+I,21072.462,100,42344.924,42381.920,42792.158
59,mtART+G4,19425.161,100,39050.322,39087.319,39497.557
60,mtART+I+G4,19421.390,101,39044.781,39082.586,39496.488
61,mtART+F,20744.954,118,41725.907,41779.097,42253.644
62,mtART+F+I,20110.709,119,40459.418,40513.612,40991.627
63,mtART+F+G4,18725.768,119,37689.537,37743.730,38221.746
64,mtART+F+I+G4,18707.743,120,37655.486,37710.695,38192.168
65,mtZOA,20721.725,99,41641.450,41677.648,42084.212
66,mtZOA+I,20106.442,100,40412.885,40449.881,40860.119
67,mtZOA+G4,18794.431,100,37788.863,37825.859,38236.097
68,mtZOA+I+G4,18785.479,101,37772.958,37810.764,38224.665
69,mtZOA+F,19985.393,118,40206.785,40259.975,40734.522
70,mtZOA+F+I,19416.348,119,39070.695,39124.889,39602.904
71,mtZOA+F+G4,18334.905,119,36907.810,36962.003,37440.019
72,mtZOA+F+I+G4,18312.067,120,36864.135,36919.344,37400.816
73,VT,19004.831,99,38207.661,38243.859,38650.423
74,VT+I,18559.303,100,37318.606,37355.602,37765.841
75,VT+G4,17988.977,100,36177.954,36214.951,36625.189
76,VT+I+G4,17971.249,101,36144.498,36182.303,36596.205
77,VT+F,18928.170,118,38092.340,38145.530,38620.077
78,VT+F+I,18480.431,119,37198.862,37253.056,37731.071
79,VT+F+G4,17903.767,119,36045.534,36099.727,36577.743
80,VT+F+I+G4,17887.208,120,36014.415,36069.625,36551.097
81,LG,19309.000,99,38815.999,38852.196,39258.761
82,LG+I,18830.491,100,37860.983,37897.979,38308.217
83,LG+G4,18122.775,100,36445.551,36482.547,36892.785
84,LG+I+G4,18105.132,101,36412.264,36450.070,36863.971
85,LG+F,19192.400,118,38620.800,38673.990,39148.537
86,LG+F+I,18710.701,119,37659.401,37713.595,38191.610
87,LG+F+G4,17987.182,119,36212.363,36266.557,36744.573
88,LG+F+I+G4,17972.707,120,36185.413,36240.622,36722.095
89,DCMut,19367.197,99,38932.394,38968.591,39375.156
90,DCMut+I,18914.335,100,38028.669,38065.665,38475.904
91,DCMut+G4,18203.401,100,36606.803,36643.799,37054.037
92,DCMut+I+G4,18187.927,101,36577.854,36615.659,37029.561
93,DCMut+F,19246.045,118,38728.089,38781.279,39255.826
94,DCMut+F+I,18782.668,119,37803.336,37857.529,38335.545
95,DCMut+F+G4,18058.273,119,36354.546,36408.739,36886.755
96,DCMut+F+I+G4,18044.276,120,36328.552,36383.761,36865.233
97,PMB,19309.622,99,38817.244,38853.442,39260.007
98,PMB+I,18865.908,100,37931.816,37968.813,38379.051
99,PMB+G4,18263.842,100,36727.684,36764.681,37174.919
100,PMB+I+G4,18243.762,101,36689.524,36727.330,37141.231
101,PMB+F,19234.541,118,38705.082,38758.272,39232.819
102,PMB+F+I,18793.267,119,37824.534,37878.728,38356.744
103,PMB+F+G4,18182.824,119,36603.649,36657.842,37135.858
104,PMB+F+I+G4,18162.884,120,36565.767,36620.976,37102.449
105,HIVb,18998.626,99,38195.251,38231.448,38638.013
106,HIVb+I,18526.801,100,37253.602,37290.599,37700.837
107,HIVb+G4,17762.810,100,35725.620,35762.616,36172.855
108,HIVb+I+G4,17752.063,101,35706.126,35743.931,36157.833
109,HIVb+F,18866.180,118,37968.359,38021.549,38496.096
110,HIVb+F+I,18386.324,119,37010.647,37064.841,37542.857
111,HIVb+F+G4,17622.882,119,35483.763,35537.957,36015.972
112,HIVb+F+I+G4,17611.048,120,35462.096,35517.305,35998.778
113,HIVw,19323.923,99,38845.846,38882.044,39288.609
114,HIVw+I,18857.932,100,37915.863,37952.860,38363.098
115,HIVw+G4,18086.013,100,36372.026,36409.022,36819.260
116,HIVw+I+G4,18074.135,101,36350.269,36388.075,36801.976
117,HIVw+F,18963.879,118,38163.757,38216.947,38691.494
118,HIVw+F+I,18473.103,119,37184.205,37238.399,37716.415
119,HIVw+F+G4,17760.590,119,35759.180,35813.374,36291.389
120,HIVw+F+I+G4,17744.937,120,35729.875,35785.084,36266.556
121,JTTDCMut,18746.887,99,37691.774,37727.971,38134.536
122,JTTDCMut+I,18305.289,100,36810.578,36847.575,37257.813
123,JTTDCMut+G4,17678.782,100,35557.564,35594.560,36004.799
124,JTTDCMut+I+G4,17666.496,101,35534.992,35572.797,35986.699
125,JTTDCMut+F,18688.485,118,37612.970,37666.159,38140.706
126,JTTDCMut+F+I,18238.647,119,36715.293,36769.487,37247.502
127,JTTDCMut+F+G4,17611.852,119,35461.704,35515.897,35993.913
128,JTTDCMut+F+I+G4,17600.122,120,35440.244,35495.453,35976.925
129,FLU,19153.983,99,38505.966,38542.163,38948.728
130,FLU+I,18703.416,100,37606.833,37643.829,38054.067
131,FLU+G4,17892.279,100,35984.558,36021.555,36431.793
132,FLU+I+G4,17879.870,101,35961.739,35999.545,36413.446
133,FLU+F,18929.019,118,38094.037,38147.226,38621.774
134,FLU+F+I,18474.588,119,37187.176,37241.369,37719.385
135,FLU+F+G4,17666.800,119,35571.601,35625.794,36103.810
136,FLU+F+I+G4,17653.358,120,35546.715,35601.924,36083.397
137,Blosum62,19412.160,99,39022.320,39058.518,39465.083
138,Blosum62+I,18963.764,100,38127.529,38164.525,38574.763
139,Blosum62+G4,18346.690,100,36893.381,36930.377,37340.615
140,Blosum62+I+G4,18326.414,101,36854.828,36892.633,37306.535
141,Blosum62+F,19280.907,118,38797.814,38851.004,39325.551
142,Blosum62+F+I,18833.370,119,37904.740,37958.933,38436.949
143,Blosum62+F+G4,18211.239,119,36660.479,36714.673,37192.688
144,Blosum62+F+I+G4,18191.405,120,36622.810,36678.019,37159.491
145,mtMet,20089.976,99,40377.952,40414.150,40820.715
146,mtMet+I,19535.228,100,39270.456,39307.452,39717.691
147,mtMet+G4,18453.493,100,37106.986,37143.983,37554.221
148,mtMet+I+G4,18440.768,101,37083.536,37121.342,37535.243
149,mtMet+F,19217.971,118,38671.942,38725.131,39199.679
150,mtMet+F+I,18693.379,119,37624.758,37678.951,38156.967
151,mtMet+F+G4,17810.850,119,35859.700,35913.893,36391.909
152,mtMet+F+I+G4,17799.833,120,35839.666,35894.875,36376.347
153,mtVer,20071.095,99,40340.190,40376.387,40782.952
154,mtVer+I,19509.862,100,39219.724,39256.720,39666.958
155,mtVer+G4,18310.356,100,36820.711,36857.708,37267.946
156,mtVer+I+G4,18301.363,101,36804.726,36842.532,37256.433
157,mtVer+F,19263.985,118,38763.971,38817.160,39291.708
158,mtVer+F+I,18714.908,119,37667.817,37722.010,38200.026
159,mtVer+F+G4,17761.237,119,35760.475,35814.668,36292.684
160,mtVer+F+I+G4,17754.103,120,35748.205,35803.415,36284.887
161,mtInv,20359.664,99,40917.328,40953.525,41360.090
162,mtInv+I,19808.264,100,39816.528,39853.524,40263.763
163,mtInv+G4,18820.451,100,37840.902,37877.899,38288.137
164,mtInv+I+G4,18804.507,101,37811.014,37848.820,38262.721
165,mtInv+F,19294.477,118,38824.954,38878.143,39352.690
166,mtInv+F+I,18776.573,119,37791.147,37845.340,38323.356
167,mtInv+F+G4,17960.481,119,36158.961,36213.155,36691.170
168,mtInv+F+I+G4,17943.913,120,36127.827,36183.036,36664.508
