No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,10781.691,117,21797.383,21834.595,22353.944
2,Dayhoff+I,10501.283,118,21238.566,21276.466,21799.884
3,Dayhoff+G4,10336.607,118,20909.214,20947.114,21470.532
4,Dayhoff+I+G4,10330.961,119,20899.922,20938.517,21465.997
5,Dayhoff+F,10601.137,136,21474.273,21525.814,22121.216
6,Dayhoff+F+I,10320.133,137,20914.265,20966.637,21565.965
7,Dayhoff+F+G4,10160.316,137,20594.633,20647.004,21246.333
8,Dayhoff+F+I+G4,10154.081,138,20584.162,20637.371,21240.618
9,mtMAM,11724.027,117,23682.054,23719.267,24238.615
10,mtMAM+I,11279.455,118,22794.911,22832.811,23356.229
11,mtMAM+G4,10898.366,118,22032.732,22070.632,22594.050
12,mtMAM+I+G4,10889.677,119,22017.354,22055.949,22583.429
13,mtMAM+F,11016.813,136,22305.626,22357.166,22952.568
14,mtMAM+F+I,10600.301,137,21474.602,21526.973,22126.302
15,mtMAM+F+G4,10303.025,137,20880.051,20932.422,21531.750
16,mtMAM+F+I+G4,10295.267,138,20866.533,20919.743,21522.990
17,JTT,10700.610,117,21635.220,21672.432,22191.781
18,JTT+I,10406.625,118,21049.251,21087.151,21610.569
19,JTT+G4,10274.367,118,20784.734,20822.635,21346.052
20,JTT+I+G4,10266.463,119,20770.926,20809.521,21337.001
21,JTT+F,10492.628,136,21257.257,21308.797,21904.199
22,JTT+F+I,10202.106,137,20678.212,20730.583,21329.911
23,JTT+F+G4,10073.277,137,20420.554,20472.925,21072.253
24,JTT+F+I+G4,10065.234,138,20406.467,20459.677,21062.924
25,WAG,10852.383,117,21938.767,21975.980,22495.328
26,WAG+I,10565.983,118,21367.966,21405.867,21929.284
27,WAG+G4,10410.470,118,21056.940,21094.840,21618.258
28,WAG+I+G4,10404.701,119,21047.402,21085.996,21613.477
29,WAG+F,10606.946,136,21485.893,21537.433,22132.835
30,WAG+F+I,10324.321,137,20922.641,20975.012,21574.341
