No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,41974.380,113,84174.760,84178.965,84936.255
2,Dayhoff+I,41965.766,114,84159.531,84163.812,84927.766
3,Dayhoff+G4,41670.863,114,83569.725,83574.005,84337.959
4,Dayhoff+I+G4,41671.645,115,83573.289,83577.645,84348.262
5,Dayhoff+F,41444.494,132,83152.989,83158.737,84042.523
6,Dayhoff+F+I,41438.019,133,83142.037,83147.874,84038.310
7,Dayhoff+F+G4,41111.403,133,82488.806,82494.642,83385.079
8,Dayhoff+F+I+G4,41112.368,134,82492.735,82498.660,83395.747
9,mtMAM,45451.328,113,91128.656,91132.861,91890.151
10,mtMAM+I,45417.800,114,91063.600,91067.880,91831.834
11,mtMAM+G4,44728.043,114,89684.086,89688.366,90452.320
12,mtMAM+I+G4,44724.257,115,89678.513,89682.869,90453.486
13,mtMAM+F,41821.327,132,83906.655,83912.403,84796.189
14,mtMAM+F+I,41806.076,133,83878.152,83883.989,84774.425
15,mtMAM+F+G4,41397.730,133,83061.460,83067.297,83957.733
16,mtMAM+F+I+G4,41395.723,134,83059.445,83065.371,83962.457
17,JTT,40851.883,113,81929.766,81933.971,82691.261
18,JTT+I,40844.891,114,81917.781,81922.061,82686.015
19,JTT+G4,40677.647,114,81583.294,81587.574,82351.528
20,JTT+I+G4,40677.535,115,81585.069,81589.425,82360.042
21,JTT+F,40347.118,132,80958.235,80963.984,81847.770
22,JTT+F+I,40342.180,133,80950.360,80956.196,81846.633
23,JTT+F+G4,40177.253,133,80620.507,80626.343,81516.780
24,JTT+F+I+G4,40177.643,134,80623.287,80629.212,81526.299
25,WAG,41319.890,113,82865.780,82869.985,83627.275
26,WAG+I,41314.388,114,82856.776,82861.057,83625.011
27,WAG+G4,41120.441,114,82468.882,82473.162,83237.116
28,WAG+I+G4,41120.462,115,82470.923,82475.279,83245.896
29,WAG+F,40783.439,132,81830.877,81836.626,82720.411
30,WAG+F+I,40779.352,133,81824.703,81830.540,82720.977
31,WAG+F+G4,40568.156,133,81402.313,81408.149,82298.586
32,WAG+F+I+G4,40568.540,134,81405.079,81411.005,82308.091
33,cpREV,41879.774,113,83985.549,83989.754,84747.044
34,cpREV+I,41877.722,114,83983.444,83987.724,84751.678
35,cpREV+G4,41629.312,114,83486.623,83490.903,84254.857
36,cpREV+I+G4,41629.994,115,83489.988,83494.344,84264.961
37,cpREV+F,40941.826,132,82147.652,82153.401,83037.186
38,cpREV+F+I,40941.145,133,82148.291,82154.127,83044.564
39,cpREV+F+G4,40648.847,133,81563.694,81569.531,82459.967
40,cpREV+F+I+G4,40649.441,134,81566.881,81572.807,82469.893
41,mtREV,44540.986,113,89307.971,89312.176,90069.467
42,mtREV+I,44519.411,114,89266.821,89271.101,90035.055
43,mtREV+G4,44119.201,114,88466.403,88470.683,89234.637
44,mtREV+I+G4,44115.612,115,88461.224,88465.580,89236.197
45,mtREV+F,41259.674,132,82783.348,82789.097,83672.882
46,mtREV+F+I,41250.777,133,82767.555,82773.391,83663.828
47,mtREV+F+G4,40927.905,133,82121.809,82127.646,83018.082
48,mtREV+F+I+G4,40927.266,134,82122.533,82128.458,83025.545
49,rtREV,42063.197,113,84352.394,84356.599,85113.889
50,rtREV+I,42051.073,114,84330.146,84334.426,85098.380
51,rtREV+G4,41847.943,114,83923.886,83928.166,84692.120
52,rtREV+I+G4,41845.868,115,83921.737,83926.093,84696.710
53,rtREV+F,41349.470,132,82962.940,82968.688,83852.474
54,rtREV+F+I,41341.343,133,82948.686,82954.523,83844.959
55,rtREV+F+G4,41126.314,133,82518.628,82524.465,83414.902
56,rtREV+F+I+G4,41125.564,134,82519.129,82525.054,83422.141
57,mtART,46133.308,113,92492.616,92496.820,93254.111
58,mtART+I,46100.565,114,92429.130,92433.410,93197.364
59,mtART+G4,45346.244,114,90920.487,90924.768,91688.722
60,mtART+I+G4,45342.307,115,90914.615,90918.970,91689.588
61,mtART+F,42692.534,132,85649.069,85654.817,86538.603
62,mtART+F+I,42671.975,133,85609.949,85615.786,86506.223
63,mtART+F+G4,42121.164,133,84508.328,84514.164,85404.601
64,mtART+F+I+G4,42118.754,134,84505.508,84511.433,85408.520
65,mtZOA,44819.415,113,89864.830,89869.035,90626.325
66,mtZOA+I,44793.612,114,89815.224,89819.504,90583.458
67,mtZOA+G4,44263.876,114,88755.752,88760.032,89523.986
68,mtZOA+I+G4,44260.709,115,88751.418,88755.774,89526.391
69,mtZOA+F,41881.021,132,84026.042,84031.790,84915.576
70,mtZOA+F+I,41867.593,133,84001.186,84007.023,84897.459
71,mtZOA+F+G4,41478.121,133,83222.242,83228.079,84118.515
72,mtZOA+F+I+G4,41477.169,134,83222.339,83228.264,84125.351
73,VT,41101.932,113,82429.865,82434.070,83191.360
74,VT+I,41096.499,114,82420.997,82425.277,83189.231
75,VT+G4,40958.064,114,82144.129,82148.409,82912.363
76,VT+I+G4,40957.808,115,82145.616,82149.972,82920.589
77,VT+F,40559.941,132,81383.883,81389.631,82273.417
78,VT+F+I,40556.159,133,81378.317,81384.154,82274.590
79,VT+F+G4,40413.104,133,81092.208,81098.044,81988.481
80,VT+F+I+G4,40413.317,134,81094.634,81100.559,81997.646
81,LG,41623.242,113,83472.483,83476.688,84233.978
82,LG+I,41613.035,114,83454.070,83458.350,84222.304
83,LG+G4,41404.885,114,83037.770,83042.050,83806.004
84,LG+I+G4,41403.560,115,83037.120,83041.475,83812.093
85,LG+F,41036.086,132,82336.172,82341.921,83225.707
86,LG+F+I,41028.949,133,82323.898,82329.735,83220.171
87,LG+F+G4,40817.429,133,81900.858,81906.694,82797.131
88,LG+F+I+G4,40816.999,134,81901.999,81907.924,82805.011
89,DCMut,41972.928,113,84171.857,84176.062,84933.352
90,DCMut+I,41964.388,114,84156.776,84161.057,84925.011
91,DCMut+G4,41670.639,114,83569.277,83573.557,84337.511
92,DCMut+I+G4,41670.651,115,83571.302,83575.658,84346.275
93,DCMut+F,41441.649,132,83147.298,83153.046,84036.832
94,DCMut+F+I,41435.189,133,83136.378,83142.215,84032.651
95,DCMut+F+G4,41109.896,133,82485.791,82491.628,83382.065
96,DCMut+F+I+G4,41110.181,134,82488.361,82494.287,83391.373
97,PMB,41527.812,113,83281.623,83285.828,84043.118
98,PMB+I,41520.765,114,83269.530,83273.810,84037.764
99,PMB+G4,41360.775,114,82949.550,82953.830,83717.784
100,PMB+I+G4,41359.996,115,82949.992,82954.348,83724.965
101,PMB+F,40944.633,132,82153.266,82159.015,83042.800
102,PMB+F+I,40939.421,133,82144.842,82150.678,83041.115
103,PMB+F+G4,40770.702,133,81807.403,81813.240,82703.676
104,PMB+F+I+G4,40770.529,134,81809.058,81814.984,82712.070
105,HIVb,41417.894,113,83061.787,83065.992,83823.282
106,HIVb+I,41406.288,114,83040.576,83044.856,83808.810
107,HIVb+G4,41140.899,114,82509.798,82514.078,83278.032
108,HIVb+I+G4,41140.443,115,82510.886,82515.242,83285.859
109,HIVb+F,40688.260,132,81640.520,81646.268,82530.054
110,HIVb+F+I,40679.805,133,81625.611,81631.447,82521.884
111,HIVb+F+G4,40427.922,133,81121.844,81127.680,82018.117
112,HIVb+F+I+G4,40427.982,134,81123.964,81129.889,82026.976
113,HIVw,42744.113,113,85714.226,85718.431,86475.721
114,HIVw+I,42729.587,114,85687.174,85691.454,86455.408
115,HIVw+G4,42343.189,114,84914.378,84918.658,85682.612
116,HIVw+I+G4,42343.066,115,84916.132,84920.488,85691.105
117,HIVw+F,40958.581,132,82181.162,82186.911,83070.697
118,HIVw+F+I,40944.577,133,82155.154,82160.990,83051.427
119,HIVw+F+G4,40632.410,133,81530.820,81536.656,82427.093
120,HIVw+F+I+G4,40631.983,134,81531.967,81537.892,82434.979
121,JTTDCMut,40875.555,113,81977.111,81981.316,82738.606
122,JTTDCMut+I,40869.007,114,81966.015,81970.295,82734.249
123,JTTDCMut+G4,40697.736,114,81623.471,81627.751,82391.705
124,JTTDCMut+I+G4,40697.603,115,81625.206,81629.562,82400.179
125,JTTDCMut+F,40366.280,132,80996.561,81002.309,81886.095
126,JTTDCMut+F+I,40361.740,133,80989.479,80995.316,81885.753
