No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,9269.553,99,18737.106,18811.264,19123.737
2,Dayhoff+I,9072.149,100,18344.299,18420.238,18734.835
3,Dayhoff+G4,8851.388,100,17902.777,17978.716,18293.313
4,Dayhoff+I+G4,8845.959,101,17893.919,17971.669,18288.360
5,Dayhoff+F,9249.481,118,18734.962,18848.204,19195.795
6,Dayhoff+F+I,9057.189,119,18352.377,18468.005,18817.115
7,Dayhoff+F+G4,8842.616,119,17923.232,18038.859,18387.970
8,Dayhoff+F+I+G4,8836.688,120,17913.375,18031.424,18382.019
9,mtMAM,10243.002,99,20684.005,20758.162,21070.636
10,mtMAM+I,10028.250,100,20256.500,20332.440,20647.036
11,mtMAM+G4,9400.616,100,19001.232,19077.172,19391.768
12,mtMAM+I+G4,9396.568,101,18995.137,19072.888,19389.578
13,mtMAM+F,9678.324,118,19592.647,19705.889,20053.480
14,mtMAM+F+I,9463.821,119,19165.642,19281.270,19630.380
15,mtMAM+F+G4,9032.129,119,18302.257,18417.885,18766.995
16,mtMAM+F+I+G4,9030.575,120,18301.149,18419.198,18769.793
17,JTT,9069.325,99,18336.650,18410.807,18723.280
18,JTT+I,8885.852,100,17971.704,18047.644,18362.240
19,JTT+G4,8663.730,100,17527.459,17603.399,17917.995
20,JTT+I+G4,8659.121,101,17520.243,17597.993,17914.684
21,JTT+F,9063.983,118,18363.967,18477.209,18824.800
22,JTT+F+I,8884.440,119,18006.881,18122.508,18471.619
23,JTT+F+G4,8676.934,119,17591.868,17707.496,18056.606
24,JTT+F+I+G4,8671.898,120,17583.797,17701.845,18052.440
25,WAG,9154.084,99,18506.168,18580.325,18892.799
26,WAG+I,8976.735,100,18153.470,18229.410,18544.006
27,WAG+G4,8774.532,100,17749.064,17825.004,18139.600
28,WAG+I+G4,8769.841,101,17741.682,17819.432,18136.123
29,WAG+F,9149.367,118,18534.735,18647.977,18995.567
30,WAG+F+I,8978.302,119,18194.604,18310.232,18659.342
31,WAG+F+G4,8781.473,119,17800.945,17916.573,18265.683
32,WAG+F+I+G4,8776.833,120,17793.665,17911.714,18262.309
33,cpREV,9222.664,99,18643.328,18717.485,19029.959
34,cpREV+I,9065.230,100,18330.460,18406.400,18720.996
35,cpREV+G4,8828.414,100,17856.827,17932.767,18247.363
36,cpREV+I+G4,8825.742,101,17853.484,17931.235,18247.925
37,cpREV+F,9176.472,118,18588.943,18702.185,19049.776
38,cpREV+F+I,9021.720,119,18281.440,18397.068,18746.179
39,cpREV+F+G4,8804.243,119,17846.486,17962.114,18311.224
40,cpREV+F+I+G4,8801.022,120,17842.043,17960.092,18310.687
41,mtREV,9845.944,99,19889.887,19964.045,20276.518
42,mtREV+I,9652.643,100,19505.286,19581.226,19895.823
43,mtREV+G4,9273.834,100,18747.669,18823.609,19138.205
44,mtREV+I+G4,9272.152,101,18746.304,18824.055,19140.746
45,mtREV+F,9386.506,118,19009.012,19122.254,19469.844
46,mtREV+F+I,9199.463,119,18636.926,18752.554,19101.664
47,mtREV+F+G4,8915.995,119,18069.991,18185.618,18534.729
48,mtREV+F+I+G4,8913.397,120,18066.795,18184.844,18535.438
49,rtREV,9282.934,99,18763.868,18838.026,19150.499
50,rtREV+I,9096.859,100,18393.719,18469.658,18784.255
51,rtREV+G4,8857.519,100,17915.038,17990.978,18305.575
52,rtREV+I+G4,8853.289,101,17908.577,17986.328,18303.019
53,rtREV+F,9231.469,118,18698.938,18812.180,19159.771
54,rtREV+F+I,9048.690,119,18335.381,18451.008,18800.119
55,rtREV+F+G4,8817.935,119,17873.870,17989.497,18338.608
56,rtREV+F+I+G4,8813.934,120,17867.869,17985.918,18336.512
57,mtART,10341.054,99,20880.108,20954.266,21266.739
58,mtART+I,10100.449,100,20400.898,20476.838,20791.434
59,mtART+G4,9552.705,100,19305.410,19381.350,19695.946
60,mtART+I+G4,9547.719,101,19297.438,19375.189,19691.880
61,mtART+F,9763.441,118,19762.882,19876.123,20223.714
62,mtART+F+I,9553.927,119,19345.854,19461.481,19810.592
63,mtART+F+G4,9147.856,119,18533.712,18649.340,18998.450
64,mtART+F+I+G4,9145.609,120,18531.219,18649.268,18999.862
65,mtZOA,9843.521,99,19885.042,19959.199,20271.673
66,mtZOA+I,9635.324,100,19470.648,19546.587,19861.184
67,mtZOA+G4,9186.435,100,18572.870,18648.810,18963.406
68,mtZOA+I+G4,9184.853,101,18571.705,18649.456,18966.147
69,mtZOA+F,9426.010,118,19088.020,19201.262,19548.853
70,mtZOA+F+I,9237.503,119,18713.006,18828.633,19177.744
71,mtZOA+F+G4,8929.419,119,18096.837,18212.465,18561.575
72,mtZOA+F+I+G4,8926.200,120,18092.400,18210.449,18561.044
73,VT,9199.049,99,18596.099,18670.256,18982.730
74,VT+I,9020.377,100,18240.754,18316.694,18631.290
75,VT+G4,8810.823,100,17821.645,17897.585,18212.182
76,VT+I+G4,8806.413,101,17814.826,17892.577,18209.267
77,VT+F,9197.326,118,18630.653,18743.895,19091.486
78,VT+F+I,9023.020,119,18284.040,18399.667,18748.778
79,VT+F+G4,8825.577,119,17889.154,18004.781,18353.892
80,VT+F+I+G4,8820.781,120,17881.561,17999.610,18350.205
81,LG,9173.898,99,18545.796,18619.953,18932.427
82,LG+I,8987.015,100,18174.029,18249.969,18564.566
83,LG+G4,8747.093,100,17694.185,17770.125,18084.721
84,LG+I+G4,8743.188,101,17688.375,17766.126,18082.817
85,LG+F,9143.836,118,18523.672,18636.914,18984.505
86,LG+F+I,8964.311,119,18166.621,18282.249,18631.359
87,LG+F+G4,8741.444,119,17720.889,17836.516,18185.627
88,LG+F+I+G4,8737.324,120,17714.648,17832.697,18183.292
89,DCMut,9269.587,99,18737.174,18811.332,19123.805
90,DCMut+I,9072.284,100,18344.568,18420.508,18735.104
91,DCMut+G4,8852.072,100,17904.144,17980.083,18294.680
92,DCMut+I+G4,8846.553,101,17895.106,17972.857,18289.547
93,DCMut+F,9249.674,118,18735.348,18848.590,19196.180
94,DCMut+F+I,9057.455,119,18352.909,18468.537,18817.647
95,DCMut+F+G4,8843.382,119,17924.764,18040.391,18389.502
96,DCMut+F+I+G4,8837.399,120,17914.798,18032.847,18383.442
97,PMB,9314.433,99,18826.867,18901.024,19213.498
98,PMB+I,9136.883,100,18473.765,18549.705,18864.302
99,PMB+G4,8925.483,100,18050.966,18126.906,18441.502
100,PMB+I+G4,8921.316,101,18044.631,18122.382,18439.073
101,PMB+F,9318.854,118,18873.708,18986.950,19334.541
102,PMB+F+I,9146.317,119,18530.633,18646.261,18995.371
103,PMB+F+G4,8947.105,119,18132.209,18247.837,18596.948
104,PMB+F+I+G4,8942.855,120,18125.710,18243.758,18594.353
105,HIVb,9295.957,99,18789.914,18864.071,19176.545
106,HIVb+I,9103.000,100,18405.999,18481.939,18796.536
107,HIVb+G4,8803.913,100,17807.825,17883.765,18198.362
108,HIVb+I+G4,8802.415,101,17806.831,17884.582,18201.272
109,HIVb+F,9277.201,118,18790.401,18903.643,19251.234
110,HIVb+F+I,9081.755,119,18401.510,18517.138,18866.248
111,HIVb+F+G4,8809.861,119,17857.723,17973.350,18322.461
112,HIVb+F+I+G4,8807.604,120,17855.208,17973.257,18323.852
113,HIVw,9682.754,99,19563.508,19637.666,19950.139
114,HIVw+I,9490.816,100,19181.632,19257.572,19572.168
115,HIVw+G4,9193.697,100,18587.395,18663.335,18977.931
116,HIVw+I+G4,9191.229,101,18584.458,18662.209,18978.899
117,HIVw+F,9565.734,118,19367.467,19480.709,19828.300
118,HIVw+F+I,9368.068,119,18974.135,19089.763,19438.873
119,HIVw+F+G4,9078.873,119,18395.745,18511.373,18860.484
120,HIVw+F+I+G4,9076.621,120,18393.241,18511.290,18861.885
121,JTTDCMut,9070.829,99,18339.659,18413.816,18726.290
122,JTTDCMut+I,8888.060,100,17976.119,18052.059,18366.655
123,JTTDCMut+G4,8666.970,100,17533.939,17609.879,17924.476
124,JTTDCMut+I+G4,8662.457,101,17526.913,17604.664,17921.355
125,JTTDCMut+F,9064.298,118,18364.596,18477.838,18825.429
126,JTTDCMut+F+I,8885.246,119,18008.492,18124.120,18473.230
127,JTTDCMut+F+G4,8678.213,119,17594.426,17710.053,18059.164
128,JTTDCMut+F+I+G4,8673.254,120,17586.509,17704.557,18055.152
129,FLU,9357.626,99,18913.253,18987.410,19299.884
130,FLU+I,9180.736,100,18561.472,18637.411,18952.008
131,FLU+G4,8888.088,100,17976.177,18052.116,18366.713
132,FLU+I+G4,8886.574,101,17975.148,18052.899,18369.590
133,FLU+F,9278.212,118,18792.423,18905.665,19253.256
134,FLU+F+I,9109.242,119,18456.483,18572.111,18921.221
135,FLU+F+G4,8825.751,119,17889.501,18005.129,18354.239
136,FLU+F+I+G4,8824.144,120,17888.289,18006.338,18356.932
137,Blosum62,9349.458,99,18896.917,18971.074,19283.548
138,Blosum62+I,9177.234,100,18554.468,18630.408,18945.005
139,Blosum62+G4,8954.988,100,18109.976,18185.916,18500.512
140,Blosum62+I+G4,8951.728,101,18105.456,18183.207,18499.898
141,Blosum62+F,9344.496,118,18924.992,19038.234,19385.825
142,Blosum62+F+I,9177.385,119,18592.769,18708.397,19057.507
143,Blosum62+F+G4,8967.497,119,18172.993,18288.621,18637.731
