No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,13072.057,97,26338.115,26369.855,26779.153
2,Dayhoff+I,12809.039,98,25814.079,25846.527,26259.664
3,Dayhoff+G4,12565.626,98,25327.252,25359.700,25772.837
4,Dayhoff+I+G4,12560.903,99,25319.805,25352.971,25769.937
5,Dayhoff+F,12970.545,116,26173.090,26219.890,26700.517
6,Dayhoff+F+I,12711.687,117,25657.375,25705.064,26189.349
7,Dayhoff+F+G4,12473.965,117,25181.930,25229.619,25713.904
8,Dayhoff+F+I+G4,12469.103,118,25174.205,25222.794,25710.726
9,mtMAM,14402.545,97,28999.090,29030.830,29440.129
10,mtMAM+I,14053.126,98,28302.252,28334.700,28747.837
11,mtMAM+G4,13350.404,98,26896.809,26929.257,27342.394
12,mtMAM+I+G4,13352.398,99,26902.795,26935.961,27352.927
13,mtMAM+F,13575.355,116,27382.709,27429.509,27910.137
14,mtMAM+F+I,13285.740,117,26805.479,26853.169,27337.453
15,mtMAM+F+G4,12782.205,117,25798.409,25846.098,26330.383
16,mtMAM+F+I+G4,12782.532,118,25801.065,25849.653,26337.585
17,JTT,12822.210,97,25838.421,25870.160,26279.459
18,JTT+I,12565.851,98,25327.702,25360.150,25773.287
19,JTT+G4,12360.400,98,24916.800,24949.248,25362.385
20,JTT+I+G4,12355.424,99,24908.849,24942.014,25358.980
21,JTT+F,12769.353,116,25770.705,25817.505,26298.132
22,JTT+F+I,12518.254,117,25270.507,25318.196,25802.481
23,JTT+F+G4,12314.270,117,24862.539,24910.228,25394.513
24,JTT+F+I+G4,12309.443,118,24854.887,24903.475,25391.407
25,WAG,12962.638,97,26119.277,26151.016,26560.315
26,WAG+I,12720.017,98,25636.035,25668.483,26081.620
27,WAG+G4,12511.750,98,25219.501,25251.949,25665.086
28,WAG+I+G4,12507.618,99,25213.235,25246.401,25663.367
29,WAG+F,12886.595,116,26005.189,26051.989,26532.616
30,WAG+F+I,12648.433,117,25530.866,25578.555,26062.840
31,WAG+F+G4,12439.691,117,25113.382,25161.071,25645.355
32,WAG+F+I+G4,12435.777,118,25107.553,25156.141,25644.074
33,cpREV,13098.884,97,26391.768,26423.508,26832.806
34,cpREV+I,12852.264,98,25900.528,25932.976,26346.113
35,cpREV+G4,12604.060,98,25404.120,25436.568,25849.705
36,cpREV+I+G4,12601.449,99,25400.899,25434.065,25851.031
37,cpREV+F,12968.298,116,26168.596,26215.396,26696.023
38,cpREV+F+I,12738.808,117,25711.615,25759.304,26243.589
39,cpREV+F+G4,12491.232,117,25216.465,25264.154,25748.439
40,cpREV+F+I+G4,12489.157,118,25214.314,25262.902,25750.834
41,mtREV,13864.061,97,27922.122,27953.862,28363.160
42,mtREV+I,13582.275,98,27360.550,27392.998,27806.135
43,mtREV+G4,13139.177,98,26474.355,26506.803,26919.940
44,mtREV+I+G4,13138.465,99,26474.931,26508.097,26925.063
45,mtREV+F,13152.531,116,26537.063,26583.863,27064.490
46,mtREV+F+I,12910.556,117,26055.111,26102.800,26587.085
47,mtREV+F+G4,12575.450,117,25384.900,25432.589,25916.874
48,mtREV+F+I+G4,12572.644,118,25381.289,25429.877,25917.809
49,rtREV,13167.749,97,26529.497,26561.237,26970.535
50,rtREV+I,12920.843,98,26037.686,26070.134,26483.271
51,rtREV+G4,12661.342,98,25518.685,25551.133,25964.270
52,rtREV+I+G4,12658.570,99,25515.141,25548.306,25965.272
53,rtREV+F,13046.002,116,26324.003,26370.803,26851.430
54,rtREV+F+I,12808.703,117,25851.406,25899.095,26383.379
55,rtREV+F+G4,12534.242,117,25302.483,25350.172,25834.457
56,rtREV+F+I+G4,12531.806,118,25299.611,25348.199,25836.132
57,mtART,14654.111,97,29502.221,29533.961,29943.260
58,mtART+I,14288.440,98,28772.881,28805.329,29218.466
59,mtART+G4,13508.760,98,27213.520,27245.968,27659.105
60,mtART+I+G4,13509.680,99,27217.360,27250.526,27667.492
61,mtART+F,13798.127,116,27828.253,27875.053,28355.680
62,mtART+F+I,13504.897,117,27243.795,27291.484,27775.769
63,mtART+F+G4,12921.039,117,26076.077,26123.766,26608.051
64,mtART+F+I+G4,12921.153,118,26078.307,26126.895,26614.827
65,mtZOA,13941.148,97,28076.296,28108.035,28517.334
66,mtZOA+I,13634.732,98,27465.465,27497.913,27911.050
67,mtZOA+G4,13047.705,98,26291.409,26323.857,26736.994
68,mtZOA+I+G4,13048.285,99,26294.571,26327.737,26744.703
69,mtZOA+F,13317.109,116,26866.219,26913.019,27393.646
70,mtZOA+F+I,13058.197,117,26350.395,26398.084,26882.369
71,mtZOA+F+G4,12635.619,117,25505.238,25552.927,26037.212
72,mtZOA+F+I+G4,12635.226,118,25506.452,25555.041,26042.973
73,VT,12973.234,97,26140.467,26172.207,26581.505
74,VT+I,12729.139,98,25654.277,25686.725,26099.862
75,VT+G4,12536.748,98,25269.497,25301.945,25715.082
76,VT+I+G4,12532.559,99,25263.117,25296.283,25713.249
77,VT+F,12900.818,116,26033.637,26080.437,26561.064
78,VT+F+I,12663.605,117,25561.210,25608.899,26093.184
79,VT+F+G4,12470.262,117,25174.524,25222.213,25706.498
80,VT+F+I+G4,12466.134,118,25168.267,25216.856,25704.788
81,LG,13045.076,97,26284.152,26315.891,26725.190
82,LG+I,12790.688,98,25777.376,25809.825,26222.961
83,LG+G4,12537.586,98,25271.172,25303.620,25716.757
84,LG+I+G4,12534.424,99,25266.849,25300.014,25716.980
85,LG+F,12937.596,116,26107.192,26153.992,26634.619
86,LG+F+I,12695.052,117,25624.104,25671.793,26156.078
87,LG+F+G4,12435.820,117,25105.641,25153.330,25637.614
88,LG+F+I+G4,12433.096,118,25102.191,25150.779,25638.712
89,DCMut,13072.340,97,26338.681,26370.420,26779.719
90,DCMut+I,12809.330,98,25814.660,25847.109,26260.245
91,DCMut+G4,12566.483,98,25328.967,25361.415,25774.552
92,DCMut+I+G4,12561.816,99,25321.632,25354.798,25771.764
93,DCMut+F,12971.031,116,26174.062,26220.862,26701.489
94,DCMut+F+I,12712.142,117,25658.285,25705.974,26190.259
95,DCMut+F+G4,12474.874,117,25183.748,25231.437,25715.722
96,DCMut+F+I+G4,12470.092,118,25176.185,25224.773,25712.705
97,PMB,13147.101,97,26488.202,26519.942,26929.240
98,PMB+I,12893.445,98,25982.889,26015.337,26428.474
99,PMB+G4,12678.765,98,25553.530,25585.978,25999.115
100,PMB+I+G4,12675.251,99,25548.502,25581.668,25998.633
101,PMB+F,13097.943,116,26427.886,26474.686,26955.313
102,PMB+F+I,12853.446,117,25940.892,25988.581,26472.866
103,PMB+F+G4,12641.330,117,25516.660,25564.349,26048.634
104,PMB+F+I+G4,12637.879,118,25511.758,25560.347,26048.279
105,HIVb,13125.540,97,26445.079,26476.819,26886.117
106,HIVb+I,12827.529,98,25851.058,25883.507,26296.643
107,HIVb+G4,12558.727,98,25313.454,25345.903,25759.039
108,HIVb+I+G4,12552.765,99,25303.529,25336.695,25753.661
109,HIVb+F,13021.906,116,26275.812,26322.612,26803.240
110,HIVb+F+I,12735.792,117,25705.584,25753.273,26237.558
111,HIVb+F+G4,12457.646,117,25149.291,25196.980,25681.265
112,HIVb+F+I+G4,12452.677,118,25141.355,25189.943,25677.875
113,HIVw,13642.679,97,27479.359,27511.098,27920.397
114,HIVw+I,13318.859,98,26833.717,26866.165,27279.302
115,HIVw+G4,13073.163,98,26342.327,26374.775,26787.912
116,HIVw+I+G4,13063.958,99,26325.917,26359.083,26776.049
117,HIVw+F,13362.965,116,26957.931,27004.731,27485.358
118,HIVw+F+I,13047.023,117,26328.046,26375.735,26860.020
119,HIVw+F+G4,12801.133,117,25836.265,25883.954,26368.239
120,HIVw+F+I+G4,12793.496,118,25822.993,25871.581,26359.514
121,JTTDCMut,12831.376,97,25856.751,25888.491,26297.789
122,JTTDCMut+I,12575.298,98,25346.595,25379.043,25792.180
123,JTTDCMut+G4,12369.780,98,24935.560,24968.008,25381.145
124,JTTDCMut+I+G4,12364.678,99,24927.355,24960.521,25377.487
125,JTTDCMut+F,12776.406,116,25784.811,25831.611,26312.238
126,JTTDCMut+F+I,12525.578,117,25285.155,25332.844,25817.129
127,JTTDCMut+F+G4,12321.054,117,24876.109,24923.798,25408.083
128,JTTDCMut+F+I+G4,12316.192,118,24868.384,24916.972,25404.905
129,FLU,13247.106,97,26688.212,26719.952,27129.250
130,FLU+I,12949.187,98,26094.374,26126.822,26539.959
131,FLU+G4,12668.491,98,25532.982,25565.430,25978.567
132,FLU+I+G4,12663.518,99,25525.037,25558.203,25975.169
133,FLU+F,13037.957,116,26307.913,26354.713,26835.340
134,FLU+F+I,12767.537,117,25769.074,25816.763,26301.048
135,FLU+F+G4,12472.711,117,25179.421,25227.111,25711.395
136,FLU+F+I+G4,12469.458,118,25174.917,25223.505,25711.437
137,Blosum62,13204.591,97,26603.183,26634.922,27044.221
138,Blosum62+I,12961.061,98,26118.122,26150.570,26563.707
139,Blosum62+G4,12740.571,98,25677.142,25709.590,26122.727
140,Blosum62+I+G4,12737.502,99,25673.004,25706.169,26123.135
141,Blosum62+F,13111.074,116,26454.148,26500.948,26981.575
142,Blosum62+F+I,12878.023,117,25990.045,26037.734,26522.019
143,Blosum62+F+G4,12659.602,117,25553.205,25600.894,26085.179
144,Blosum62+F+I+G4,12656.640,118,25549.281,25597.869,26085.802
145,mtMet,13842.368,97,27878.737,27910.477,28319.775
146,mtMet+I,13549.603,98,27295.206,27327.654,27740.791
