No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,16618.282,111,33458.563,33489.643,33993.099
2,Dayhoff+I,16226.830,112,32677.660,32709.340,33217.012
3,Dayhoff+G4,15769.073,112,31762.147,31793.826,32301.499
4,Dayhoff+I+G4,15767.999,113,31761.999,31794.284,32306.166
5,Dayhoff+F,16582.466,130,33424.933,33468.543,34050.966
6,Dayhoff+F+I,16177.855,131,32617.711,32662.049,33248.560
7,Dayhoff+F+G4,15710.330,131,31682.659,31726.998,32313.508
8,Dayhoff+F+I+G4,15709.533,132,31683.067,31728.140,32318.731
9,mtMAM,17679.830,111,35581.660,35612.740,36116.196
10,mtMAM+I,17098.317,112,34420.634,34452.314,34959.986
11,mtMAM+G4,16320.972,112,32865.943,32897.623,33405.295
12,mtMAM+I+G4,16313.907,113,32853.814,32886.100,33397.982
13,mtMAM+F,17072.841,130,34405.681,34449.292,35031.715
14,mtMAM+F+I,16559.877,131,33381.755,33426.093,34012.604
15,mtMAM+F+G4,15880.151,131,32022.302,32066.640,32653.150
16,mtMAM+F+I+G4,15877.498,132,32018.995,32064.069,32654.660
17,JTT,16306.892,111,32835.784,32866.864,33370.320
18,JTT+I,15897.903,112,32019.806,32051.485,32559.158
19,JTT+G4,15453.424,112,31130.847,31162.527,31670.199
20,JTT+I+G4,15452.857,113,31131.714,31163.999,31675.881
21,JTT+F,16292.855,130,32845.709,32889.320,33471.742
22,JTT+F+I,15881.677,131,32025.355,32069.693,32656.204
23,JTT+F+G4,15432.080,131,31126.161,31170.499,31757.009
24,JTT+F+I+G4,15431.566,132,31127.132,31172.205,31762.796
25,WAG,16591.686,111,33405.372,33436.452,33939.908
26,WAG+I,16194.809,112,32613.618,32645.298,33152.970
27,WAG+G4,15727.156,112,31678.313,31709.992,32217.664
28,WAG+I+G4,15727.232,113,31680.463,31712.749,32224.631
29,WAG+F,16565.193,130,33390.386,33433.997,34016.420
30,WAG+F+I,16165.496,131,32592.992,32637.331,33223.841
31,WAG+F+G4,15688.633,131,31639.266,31683.605,32270.115
32,WAG+F+I+G4,15689.102,132,31642.204,31687.277,32277.869
33,cpREV,16701.913,111,33625.827,33656.907,34160.363
34,cpREV+I,16279.759,112,32783.518,32815.198,33322.870
35,cpREV+G4,15768.933,112,31761.865,31793.545,32301.217
36,cpREV+I+G4,15768.480,113,31762.960,31795.245,32307.127
37,cpREV+F,16690.675,130,33641.351,33684.962,34267.384
38,cpREV+F+I,16275.982,131,32813.963,32858.302,33444.812
39,cpREV+F+G4,15747.646,131,31757.291,31801.630,32388.140
40,cpREV+F+I+G4,15747.528,132,31759.057,31804.130,32394.721
41,mtREV,17139.342,111,34500.683,34531.763,35035.219
42,mtREV+I,16676.457,112,33576.915,33608.594,34116.266
