No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,41574.421,113,83374.843,83379.008,84137.401
2,Dayhoff+I,41565.708,114,83359.416,83363.655,84128.723
3,Dayhoff+G4,41271.088,114,82770.177,82774.416,83539.483
4,Dayhoff+I+G4,41271.673,115,82773.346,82777.660,83549.401
5,Dayhoff+F,41088.177,132,82440.353,82446.047,83331.130
6,Dayhoff+F+I,41082.058,133,82430.116,82435.897,83327.641
7,Dayhoff+F+G4,40757.175,133,81780.350,81786.131,82677.875
8,Dayhoff+F+I+G4,40757.989,134,81783.977,81789.846,82688.250
9,mtMAM,44990.862,113,90207.724,90211.889,90970.283
10,mtMAM+I,44959.059,114,90146.117,90150.356,90915.424
11,mtMAM+G4,44239.591,114,88707.182,88711.422,89476.489
12,mtMAM+I+G4,44234.988,115,88699.975,88704.289,89476.030
13,mtMAM+F,41482.459,132,83228.919,83234.612,84119.695
14,mtMAM+F+I,41467.178,133,83200.357,83206.137,84097.881
15,mtMAM+F+G4,41050.410,133,82366.821,82372.601,83264.345
16,mtMAM+F+I+G4,41047.910,134,82363.820,82369.689,83268.093
17,JTT,40415.924,113,81057.848,81062.013,81820.407
18,JTT+I,40409.037,114,81046.075,81050.314,81815.382
19,JTT+G4,40250.941,114,80729.882,80734.121,81499.189
20,JTT+I+G4,40250.604,115,80731.208,80735.522,81507.263
21,JTT+F,39952.885,132,80169.769,80175.463,81060.546
22,JTT+F+I,39948.188,133,80162.376,80168.156,81059.900
23,JTT+F+G4,39792.226,133,79850.451,79856.232,80747.976
24,JTT+F+I+G4,39792.446,134,79852.892,79858.760,80757.165
25,WAG,40891.289,113,82008.577,82012.742,82771.136
26,WAG+I,40885.471,114,81998.942,82003.181,82768.249
27,WAG+G4,40705.301,114,81638.603,81642.842,82407.910
28,WAG+I+G4,40705.029,115,81640.058,81644.372,82416.113
29,WAG+F,40399.564,132,81063.127,81068.821,81953.903
30,WAG+F+I,40395.361,133,81056.723,81062.504,81954.248
31,WAG+F+G4,40197.841,133,80661.681,80667.462,81559.206
32,WAG+F+I+G4,40198.012,134,80664.025,80669.893,81568.298
33,cpREV,41415.496,113,83056.991,83061.156,83819.550
34,cpREV+I,41413.750,114,83055.499,83059.738,83824.806
35,cpREV+G4,41177.831,114,82583.662,82587.901,83352.968
36,cpREV+I+G4,41178.424,115,82586.847,82591.161,83362.902
37,cpREV+F,40549.670,132,81363.341,81369.034,82254.117
38,cpREV+F+I,40549.389,133,81364.779,81370.559,82262.303
39,cpREV+F+G4,40269.717,133,80805.434,80811.215,81702.959
40,cpREV+F+I+G4,40270.221,134,80808.443,80814.311,81712.715
41,mtREV,44057.242,113,88340.484,88344.649,89103.042
42,mtREV+I,44036.101,114,88300.201,88304.441,89069.508
43,mtREV+G4,43633.724,114,87495.449,87499.688,88264.756
44,mtREV+I+G4,43629.640,115,87489.280,87493.594,88265.335
45,mtREV+F,40904.051,132,82072.103,82077.796,82962.879
46,mtREV+F+I,40895.203,133,82056.406,82062.186,82953.930
47,mtREV+F+G4,40577.626,133,81421.252,81427.033,82318.777
48,mtREV+F+I+G4,40576.778,134,81421.556,81427.425,82325.829
49,rtREV,41626.867,113,83479.734,83483.899,84242.293
50,rtREV+I,41614.441,114,83456.883,83461.122,84226.189
51,rtREV+G4,41424.971,114,83077.942,83082.181,83847.248
52,rtREV+I+G4,41422.364,115,83074.727,83079.041,83850.782
53,rtREV+F,40964.466,132,82192.933,82198.626,83083.709
54,rtREV+F+I,40956.209,133,82178.417,82184.198,83075.942
55,rtREV+F+G4,40752.989,133,81771.978,81777.759,82669.503
56,rtREV+F+I+G4,40751.906,134,81771.813,81777.681,82676.086
57,mtART,45681.570,113,91589.139,91593.304,92351.698
58,mtART+I,45650.070,114,91528.140,91532.379,92297.446
59,mtART+G4,44877.723,114,89983.446,89987.686,90752.753
60,mtART+I+G4,44873.153,115,89976.306,89980.621,90752.361
61,mtART+F,42369.906,132,85003.813,85009.506,85894.589
62,mtART+F+I,42349.505,133,84965.010,84970.791,85862.534
63,mtART+F+G4,41785.732,133,83837.463,83843.244,84734.988
64,mtART+F+I+G4,41782.969,134,83833.938,83839.807,84738.211
65,mtZOA,44346.755,113,88919.510,88923.675,89682.069
66,mtZOA+I,44321.296,114,88870.591,88874.830,89639.898
67,mtZOA+G4,43780.526,114,87789.051,87793.291,88558.358
68,mtZOA+I+G4,43776.867,115,87783.733,87788.048,88559.788
69,mtZOA+F,41544.999,132,83353.998,83359.692,84244.774
70,mtZOA+F+I,41531.484,133,83328.967,83334.748,84226.492
71,mtZOA+F+G4,41137.699,133,82541.399,82547.180,83438.923
