No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,31000.663,101,62203.325,62228.239,62691.570
2,Dayhoff+I,30501.941,102,61207.882,61233.320,61700.961
3,Dayhoff+G4,29519.009,102,59242.017,59267.456,59735.096
4,Dayhoff+I+G4,29501.256,103,59208.512,59234.480,59706.425
5,Dayhoff+F,30933.268,120,62106.536,62142.477,62686.629
6,Dayhoff+F+I,30424.817,121,61091.633,61128.218,61676.560
7,Dayhoff+F+G4,29435.285,121,59112.570,59149.155,59697.497
8,Dayhoff+F+I+G4,29416.845,122,59077.690,59114.925,59667.451
9,mtMAM,34469.939,101,69141.877,69166.791,69630.122
10,mtMAM+I,33753.694,102,67711.389,67736.827,68204.468
11,mtMAM+G4,31388.703,102,62981.406,63006.844,63474.485
12,mtMAM+I+G4,31370.240,103,62946.480,62972.449,63444.394
13,mtMAM+F,32334.740,120,64909.479,64945.420,65489.572
14,mtMAM+F+I,31664.279,121,63570.558,63607.143,64155.485
15,mtMAM+F+G4,29954.160,121,60150.320,60186.905,60735.247
16,mtMAM+F+I+G4,29935.666,122,60115.333,60152.568,60705.094
17,JTT,30552.347,101,61306.695,61331.609,61794.940
18,JTT+I,29993.712,102,60191.425,60216.863,60684.504
19,JTT+G4,29047.562,102,58299.123,58324.562,58792.202
20,JTT+I+G4,29024.547,103,58255.094,58281.062,58753.007
21,JTT+F,30485.828,120,61211.655,61247.596,61791.748
22,JTT+F+I,29924.964,121,60091.929,60128.514,60676.856
23,JTT+F+G4,28996.429,121,58234.858,58271.443,58819.785
24,JTT+F+I+G4,28974.523,122,58193.045,58230.281,58782.806
25,WAG,30842.679,101,61887.357,61912.271,62375.602
26,WAG+I,30317.958,102,60839.915,60865.354,61332.995
27,WAG+G4,29421.245,102,59046.489,59071.928,59539.569
28,WAG+I+G4,29400.657,103,59007.314,59033.282,59505.227
29,WAG+F,30799.260,120,61838.520,61874.461,62418.613
30,WAG+F+I,30282.382,121,60806.765,60843.350,61391.692
31,WAG+F+G4,29387.287,121,59016.574,59053.159,59601.501
32,WAG+F+I+G4,29364.867,122,58973.735,59010.970,59563.496
33,cpREV,31150.556,101,62503.112,62528.026,62991.357
34,cpREV+I,30585.801,102,61375.602,61401.041,61868.681
35,cpREV+G4,29638.035,102,59480.070,59505.508,59973.149
36,cpREV+I+G4,29612.269,103,59430.539,59456.507,59928.452
37,cpREV+F,31058.586,120,62357.173,62393.114,62937.266
38,cpREV+F+I,30504.946,121,61251.892,61288.477,61836.819
39,cpREV+F+G4,29545.332,121,59332.664,59369.249,59917.591
40,cpREV+F+I+G4,29522.711,122,59289.421,59326.657,59879.182
41,mtREV,33126.379,101,66454.759,66479.673,66943.004
42,mtREV+I,32525.524,102,65255.048,65280.487,65748.127
43,mtREV+G4,30964.762,102,62133.524,62158.962,62626.603
44,mtREV+I+G4,30950.611,103,62107.222,62133.191,62605.136
45,mtREV+F,31493.019,120,63226.038,63261.978,63806.131
46,mtREV+F+I,30915.692,121,62073.384,62109.969,62658.311
47,mtREV+F+G4,29686.197,121,59614.394,59650.979,60199.321
48,mtREV+F+I+G4,29670.057,122,59584.114,59621.349,60173.875
49,rtREV,31563.344,101,63328.688,63353.602,63816.933
50,rtREV+I,30935.055,102,62074.109,62099.548,62567.188
51,rtREV+G4,29878.924,102,59961.847,59987.285,60454.926
52,rtREV+I+G4,29853.377,103,59912.753,59938.722,60410.666
53,rtREV+F,31363.374,120,62966.748,63002.689,63546.841
54,rtREV+F+I,30750.737,121,61743.475,61780.060,62328.402
55,rtREV+F+G4,29706.692,121,59655.384,59691.969,60240.311
56,rtREV+F+I+G4,29683.093,122,59610.186,59647.421,60199.947
57,mtART,34850.991,101,69903.982,69928.896,70392.227
58,mtART+I,34015.428,102,68234.855,68260.294,68727.934
59,mtART+G4,31789.278,102,63782.556,63807.994,64275.635
60,mtART+I+G4,31772.434,103,63750.869,63776.837,64248.782
61,mtART+F,32847.860,120,65935.719,65971.660,66515.812
62,mtART+F+I,32137.262,121,64516.524,64553.109,65101.451
63,mtART+F+G4,30434.210,121,61110.420,61147.005,61695.347
64,mtART+F+I+G4,30417.253,122,61078.505,61115.741,61668.266
65,mtZOA,33363.242,101,66928.483,66953.398,67416.728
66,mtZOA+I,32633.697,102,65471.395,65496.833,65964.474
67,mtZOA+G4,30840.590,102,61885.180,61910.619,62378.259
68,mtZOA+I+G4,30823.766,103,61853.532,61879.501,62351.445
69,mtZOA+F,31898.178,120,64036.356,64072.296,64616.449
70,mtZOA+F+I,31247.734,121,62737.468,62774.053,63322.395
71,mtZOA+F+G4,29904.541,121,60051.082,60087.667,60636.009
72,mtZOA+F+I+G4,29885.854,122,60015.707,60052.943,60605.469
73,VT,30890.846,101,61983.692,62008.606,62471.937
74,VT+I,30324.627,102,60853.254,60878.692,61346.333
75,VT+G4,29469.194,102,59142.389,59167.827,59635.468
76,VT+I+G4,29442.635,103,59091.270,59117.238,59589.183
77,VT+F,30836.820,120,61913.640,61949.581,62493.733
78,VT+F+I,30279.184,121,60800.367,60836.952,61385.295
79,VT+F+G4,29440.411,121,59122.822,59159.407,59707.749
80,VT+F+I+G4,29414.406,122,59072.812,59110.047,59662.573
81,LG,31159.529,101,62521.058,62545.973,63009.303
82,LG+I,30546.243,102,61296.486,61321.924,61789.565
83,LG+G4,29484.990,102,59173.980,59199.418,59667.059
84,LG+I+G4,29462.818,103,59131.637,59157.605,59629.550
85,LG+F,31060.496,120,62360.991,62396.932,62941.084
86,LG+F+I,30466.979,121,61175.957,61212.542,61760.884
87,LG+F+G4,29442.623,121,59127.245,59163.830,59712.172
88,LG+F+I+G4,29421.179,122,59086.357,59123.593,59676.119
89,DCMut,31000.835,101,62203.669,62228.583,62691.914
90,DCMut+I,30501.902,102,61207.804,61233.243,61700.883
91,DCMut+G4,29521.039,102,59246.079,59271.517,59739.158
92,DCMut+I+G4,29503.149,103,59212.298,59238.266,59710.211
93,DCMut+F,30932.997,120,62105.993,62141.934,62686.086
94,DCMut+F+I,30424.446,121,61090.892,61127.477,61675.819
95,DCMut+F+G4,29436.846,121,59115.692,59152.276,59700.619
96,DCMut+F+I+G4,29418.356,122,59080.713,59117.949,59670.474
97,PMB,31326.762,101,62855.524,62880.438,63343.769
98,PMB+I,30787.977,102,61779.955,61805.393,62273.034
99,PMB+G4,29890.835,102,59985.670,60011.108,60478.749
