No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,16231.651,119,32701.302,32784.325,33193.948
2,Dayhoff+I,16148.778,120,32537.556,32622.221,33034.343
3,Dayhoff+G4,15827.702,120,31895.403,31980.068,32392.189
4,Dayhoff+I+G4,15815.655,121,31873.310,31959.637,32374.236
5,Dayhoff+F,16143.904,138,32563.808,32681.851,33135.112
6,Dayhoff+F+I,16056.974,139,32391.948,32512.071,32967.392
7,Dayhoff+F+G4,15730.771,139,31739.543,31859.666,32314.987
8,Dayhoff+F+I+G4,15718.549,140,31717.097,31839.327,32296.681
9,mtMAM,17530.839,119,35299.678,35382.701,35792.324
10,mtMAM+I,17404.408,120,35048.817,35133.481,35545.603
11,mtMAM+G4,16519.954,120,33279.909,33364.574,33776.695
12,mtMAM+I+G4,16513.908,121,33269.816,33356.144,33770.742
13,mtMAM+F,16744.055,138,33764.111,33882.154,34335.415
14,mtMAM+F+I,16622.742,139,33523.485,33643.608,34098.929
15,mtMAM+F+G4,15963.353,139,32204.706,32324.830,32780.150
16,mtMAM+F+I+G4,15952.471,140,32184.943,32307.172,32764.527
17,JTT,15981.106,119,32200.212,32283.236,32692.859
18,JTT+I,15895.693,120,32031.386,32116.051,32528.172
19,JTT+G4,15582.360,120,31404.720,31489.385,31901.506
20,JTT+I+G4,15571.733,121,31385.466,31471.794,31886.392
21,JTT+F,15949.121,138,32174.242,32292.285,32745.546
22,JTT+F+I,15859.036,139,31996.072,32116.195,32571.516
23,JTT+F+G4,15542.442,139,31362.885,31483.008,31938.329
24,JTT+F+I+G4,15530.912,140,31341.824,31464.053,31921.408
25,WAG,16046.601,119,32331.201,32414.224,32823.847
26,WAG+I,15969.149,120,32178.299,32262.963,32675.085
27,WAG+G4,15701.069,120,31642.138,31726.803,32138.924
28,WAG+I+G4,15689.857,121,31621.714,31708.041,32122.640
29,WAG+F,15974.666,138,32225.331,32343.374,32796.635
30,WAG+F+I,15895.401,139,32068.802,32188.925,32644.246
31,WAG+F+G4,15620.124,139,31518.248,31638.371,32093.692
32,WAG+F+I+G4,15608.674,140,31497.348,31619.578,32076.932
33,cpREV,16186.366,119,32610.731,32693.754,33103.377
34,cpREV+I,16098.132,120,32436.264,32520.929,32933.050
35,cpREV+G4,15786.942,120,31813.885,31898.550,32310.671
36,cpREV+I+G4,15774.521,121,31791.042,31877.369,32291.968
37,cpREV+F,16084.565,138,32445.130,32563.173,33016.434
38,cpREV+F+I,15991.256,139,32260.513,32380.636,32835.957
39,cpREV+F+G4,15684.094,139,31646.188,31766.312,32221.632
40,cpREV+F+I+G4,15669.854,140,31619.709,31741.938,32199.292
41,mtREV,16992.284,119,34222.568,34305.591,34715.214
42,mtREV+I,16885.961,120,34011.923,34096.588,34508.709
43,mtREV+G4,16317.068,120,32874.136,32958.801,33370.922
44,mtREV+I+G4,16305.378,121,32852.756,32939.083,33353.682
45,mtREV+F,16296.525,138,32869.050,32987.093,33440.354
46,mtREV+F+I,16191.459,139,32660.918,32781.041,33236.362
47,mtREV+F+G4,15750.781,139,31779.561,31899.685,32355.005
48,mtREV+F+I+G4,15736.712,140,31753.425,31875.654,32333.009
49,rtREV,16303.300,119,32844.600,32927.623,33337.246
50,rtREV+I,16212.753,120,32665.506,32750.171,33162.292
51,rtREV+G4,15869.224,120,31978.447,32063.112,32475.233
52,rtREV+I+G4,15857.267,121,31956.535,32042.862,32457.461
53,rtREV+F,16205.600,138,32687.200,32805.244,33258.504
54,rtREV+F+I,16108.877,139,32495.754,32615.877,33071.198
55,rtREV+F+G4,15752.537,139,31783.075,31903.198,32358.519
56,rtREV+F+I+G4,15739.010,140,31758.020,31880.249,32337.604
57,mtART,17760.895,119,35759.791,35842.814,36252.437
58,mtART+I,17608.018,120,35456.035,35540.700,35952.821
59,mtART+G4,16689.782,120,33619.564,33704.228,34116.350
60,mtART+I+G4,16675.524,121,33593.048,33679.375,34093.974
61,mtART+F,16959.505,138,34195.009,34313.053,34766.314
62,mtART+F+I,16824.120,139,33926.241,34046.364,34501.685
63,mtART+F+G4,16089.237,139,32456.475,32576.598,33031.919
64,mtART+F+I+G4,16073.790,140,32427.581,32549.810,33007.165
65,mtZOA,17104.778,119,34447.556,34530.580,34940.203
66,mtZOA+I,16973.844,120,34187.687,34272.352,34684.473
67,mtZOA+G4,16239.376,120,32718.753,32803.417,33215.539
68,mtZOA+I+G4,16226.859,121,32695.717,32782.045,33196.644
69,mtZOA+F,16529.600,138,33335.199,33453.242,33906.503
70,mtZOA+F+I,16409.001,139,33096.003,33216.126,33671.447
71,mtZOA+F+G4,15838.656,139,31955.311,32075.435,32530.755
72,mtZOA+F+I+G4,15824.158,140,31928.315,32050.544,32507.899
73,VT,16034.654,119,32307.307,32390.330,32799.953
74,VT+I,15954.872,120,32149.744,32234.408,32646.530
75,VT+G4,15696.139,120,31632.278,31716.943,32129.065
76,VT+I+G4,15684.919,121,31611.839,31698.166,32112.765
77,VT+F,15990.688,138,32257.377,32375.420,32828.681
78,VT+F+I,15908.396,139,32094.792,32214.916,32670.236
79,VT+F+G4,15647.058,139,31572.116,31692.240,32147.560
80,VT+F+I+G4,15635.188,140,31550.376,31672.605,32129.960
81,LG,16109.243,119,32456.486,32539.509,32949.132
82,LG+I,16016.923,120,32273.845,32358.510,32770.631
83,LG+G4,15667.444,120,31574.888,31659.553,32071.675
84,LG+I+G4,15655.670,121,31553.340,31639.667,32054.266
85,LG+F,16067.324,138,32410.648,32528.691,32981.952
86,LG+F+I,15970.017,139,32218.035,32338.158,32793.479
87,LG+F+G4,15614.679,139,31507.357,31627.481,32082.801
88,LG+F+I+G4,15601.293,140,31482.585,31604.814,32062.169
89,DCMut,16233.902,119,32705.804,32788.828,33198.451
90,DCMut+I,16151.038,120,32542.076,32626.740,33038.862
91,DCMut+G4,15830.076,120,31900.152,31984.817,32396.938
