No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,19080.199,101,38362.398,38409.226,38796.220
2,Dayhoff+I,18987.621,102,38179.242,38227.106,38617.360
3,Dayhoff+G4,18154.308,102,36512.616,36560.479,36950.733
4,Dayhoff+I+G4,18153.130,103,36512.261,36561.174,36954.673
5,Dayhoff+F,18942.465,120,38124.931,38193.909,38640.363
6,Dayhoff+F+I,18843.518,121,37929.037,37999.332,38448.764
7,Dayhoff+F+G4,18017.444,121,36276.888,36347.183,36796.615
8,Dayhoff+F+I+G4,18015.756,122,36275.512,36347.140,36799.535
9,mtMAM,21570.818,101,43343.636,43390.463,43777.458
10,mtMAM+I,21367.496,102,42938.992,42986.856,43377.109
11,mtMAM+G4,19454.885,102,39113.770,39161.634,39551.887
12,mtMAM+I+G4,19453.939,103,39113.878,39162.791,39556.290
13,mtMAM+F,20035.752,120,40311.505,40380.483,40826.936
14,mtMAM+F+I,19823.078,121,39888.155,39958.450,40407.882
15,mtMAM+F+G4,18343.479,121,36928.958,36999.254,37448.685
16,mtMAM+F+I+G4,18343.477,122,36930.953,37002.581,37454.976
17,JTT,18745.709,101,37693.419,37740.246,38127.241
18,JTT+I,18621.845,102,37447.690,37495.553,37885.807
19,JTT+G4,17755.302,102,35714.604,35762.467,36152.721
20,JTT+I+G4,17755.019,103,35716.039,35764.952,36158.451
21,JTT+F,18675.111,120,37590.223,37659.201,38105.655
22,JTT+F+I,18540.753,121,37323.505,37393.800,37843.232
23,JTT+F+G4,17686.135,121,35614.270,35684.565,36133.997
24,JTT+F+I+G4,17685.155,122,35614.310,35685.938,36138.333
25,WAG,19041.870,101,38285.741,38332.568,38719.563
26,WAG+I,18920.787,102,38045.573,38093.436,38483.690
27,WAG+G4,18081.130,102,36366.261,36414.124,36804.378
28,WAG+I+G4,18079.716,103,36365.431,36414.344,36807.844
29,WAG+F,18941.080,120,38122.159,38191.138,38637.591
30,WAG+F+I,18817.305,121,37876.610,37946.906,38396.338
31,WAG+F+G4,17984.961,121,36211.923,36282.218,36731.650
32,WAG+F+I+G4,17982.357,122,36208.713,36280.341,36732.736
33,cpREV,19466.957,101,39135.913,39182.740,39569.735
34,cpREV+I,19289.405,102,38782.810,38830.673,39220.927
35,cpREV+G4,18277.622,102,36759.244,36807.107,37197.361
36,cpREV+I+G4,18275.746,103,36757.492,36806.406,37199.905
37,cpREV+F,19387.307,120,39014.614,39083.592,39530.046
38,cpREV+F+I,19209.961,121,38661.922,38732.217,39181.649
39,cpREV+F+G4,18188.093,121,36618.186,36688.482,37137.914
