No.,Model,-LnL,df,AIC,AICc,BIC
138,Blosum62+I,9651.459,100,19502.919,19541.032,19947.649
139,Blosum62+G4,9571.769,100,19343.538,19381.651,19788.268
140,Blosum62+I+G4,9572.047,101,19346.093,19385.042,19795.271
141,Blosum62+F,9609.033,118,19454.066,19508.917,19978.848
142,Blosum62+F+I,9543.388,119,19324.776,19380.666,19854.005
143,Blosum62+F+G4,9460.625,119,19159.249,19215.140,19688.479
144,Blosum62+F+I+G4,9460.919,120,19161.837,19218.779,19695.514
145,mtMet,9764.014,99,19726.027,19763.315,20166.311
146,mtMet+I,9679.326,100,19558.651,19596.764,20003.382
147,mtMet+G4,9545.516,100,19291.033,19329.146,19735.763
148,mtMet+I+G4,9545.424,101,19292.847,19331.796,19742.025
149,mtMet+F,9380.206,118,18996.413,19051.264,19521.195
150,mtMet+F+I,9308.650,119,18855.301,18911.191,19384.530
151,mtMet+F+G4,9201.323,119,18640.647,18696.537,19169.876
152,mtMet+F+I+G4,9201.400,120,18642.799,18699.740,19176.476
153,mtVer,9765.640,99,19729.279,19766.567,20169.562
154,mtVer+I,9664.470,100,19528.940,19567.053,19973.671
155,mtVer+G4,9512.209,100,19224.419,19262.532,19669.149
156,mtVer+I+G4,9511.652,101,19225.305,19264.254,19674.482
157,mtVer+F,9462.437,118,19160.873,19215.725,19685.656
158,mtVer+F+I,9378.437,119,18994.873,19050.764,19524.103
159,mtVer+F+G4,9266.541,119,18771.082,18826.973,19300.312
160,mtVer+F+I+G4,9266.357,120,18772.713,18829.654,19306.390
161,mtInv,9952.737,99,20103.474,20140.763,20543.758
162,mtInv+I,9874.586,100,19949.172,19987.285,20393.902
163,mtInv+G4,9756.253,100,19712.506,19750.619,20157.236
164,mtInv+I+G4,9756.384,101,19714.768,19753.717,20163.946
165,mtInv+F,9416.867,118,19069.734,19124.585,19594.516
166,mtInv+F+I,9347.469,119,18932.939,18988.829,19462.168
167,mtInv+F+G4,9253.409,119,18744.819,18800.709,19274.048
168,mtInv+F+I+G4,9253.521,120,18747.043,18803.984,19280.720
