No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,9226.577,99,18651.153,18725.589,19037.514
2,Dayhoff+I,9031.433,100,18262.866,18339.092,18653.129
3,Dayhoff+G4,8830.919,100,17861.838,17938.065,18252.101
4,Dayhoff+I+G4,8823.598,101,17849.195,17927.241,18243.361
5,Dayhoff+F,9210.192,118,18656.385,18770.085,19116.895
6,Dayhoff+F+I,9020.157,119,18278.314,18394.412,18742.727
7,Dayhoff+F+G4,8823.955,119,17885.910,18002.008,18350.323
8,Dayhoff+F+I+G4,8816.811,120,17873.623,17992.154,18341.939
9,mtMAM,10210.796,99,20619.591,20694.027,21005.952
10,mtMAM+I,9997.048,100,20194.097,20270.323,20584.360
11,mtMAM+G4,9378.806,100,18957.612,19033.839,19347.876
12,mtMAM+I+G4,9374.529,101,18951.058,19029.104,19345.224
13,mtMAM+F,9640.781,118,19517.561,19631.261,19978.072
14,mtMAM+F+I,9427.143,119,19092.286,19208.384,19556.700
15,mtMAM+F+G4,9008.145,119,18254.290,18370.388,18718.704
16,mtMAM+F+I+G4,9006.032,120,18252.065,18370.595,18720.381
17,JTT,9035.614,99,18269.228,18343.664,18655.589
18,JTT+I,8853.106,100,17906.213,17982.439,18296.476
19,JTT+G4,8646.470,100,17492.940,17569.166,17883.203
20,JTT+I+G4,8640.600,101,17483.201,17561.246,17877.367
21,JTT+F,9031.201,118,18298.401,18412.102,18758.912
22,JTT+F+I,8852.629,119,17943.258,18059.355,18407.671
23,JTT+F+G4,8657.997,119,17553.995,17670.092,18018.408
24,JTT+F+I+G4,8652.168,120,17544.336,17662.866,18012.652
25,WAG,9117.408,99,18432.816,18507.252,18819.177
26,WAG+I,8940.682,100,18081.364,18157.590,18471.627
27,WAG+G4,8754.959,100,17709.917,17786.144,18100.181
28,WAG+I+G4,8749.021,101,17700.042,17778.088,18094.208
29,WAG+F,9113.332,118,18462.665,18576.365,18923.175
30,WAG+F+I,8942.822,119,18123.644,18239.741,18588.057
31,WAG+F+G4,8760.196,119,17758.391,17874.489,18222.805
32,WAG+F+I+G4,8754.444,120,17748.889,17867.419,18217.205
33,cpREV,9183.730,99,18565.459,18639.896,18951.820
34,cpREV+I,9025.373,100,18250.746,18326.972,18641.009
35,cpREV+G4,8808.658,100,17817.315,17893.542,18207.579
36,cpREV+I+G4,8804.610,101,17811.220,17889.265,18205.386
37,cpREV+F,9134.687,118,18505.374,18619.074,18965.885
38,cpREV+F+I,8978.970,119,18195.940,18312.037,18660.353
39,cpREV+F+G4,8779.486,119,17796.972,17913.069,18261.385
40,cpREV+F+I+G4,8775.404,120,17790.807,17909.338,18259.123
41,mtREV,9809.177,99,19816.354,19890.790,20202.715
42,mtREV+I,9616.910,100,19433.821,19510.047,19824.084
43,mtREV+G4,9249.298,100,18698.595,18774.822,19088.859
44,mtREV+I+G4,9247.091,101,18696.181,18774.227,19090.347
45,mtREV+F,9343.751,118,18923.501,19037.202,19384.012
46,mtREV+F+I,9157.254,119,18552.509,18668.606,19016.922
47,mtREV+F+G4,8889.639,119,18017.279,18133.376,18481.692
48,mtREV+F+I+G4,8885.624,120,18011.249,18129.779,18479.565
49,rtREV,9242.529,99,18683.059,18757.495,19069.419
50,rtREV+I,9057.360,100,18314.720,18390.946,18704.983
51,rtREV+G4,8838.965,100,17877.931,17954.157,18268.194
52,rtREV+I+G4,8832.796,101,17867.592,17945.637,18261.758
53,rtREV+F,9188.915,118,18613.830,18727.530,19074.340
54,rtREV+F+I,9007.029,119,18252.058,18368.156,18716.471
55,rtREV+F+G4,8796.918,119,17831.835,17947.933,18296.249
56,rtREV+F+I+G4,8790.843,120,17821.686,17940.217,18290.002
57,mtART,10275.044,99,20748.087,20822.523,21134.448
58,mtART+I,10037.283,100,20274.566,20350.792,20664.829
59,mtART+G4,9518.349,100,19236.697,19312.923,19626.960
60,mtART+I+G4,9511.603,101,19225.206,19303.251,19619.372
61,mtART+F,9693.538,118,19623.075,19736.776,20083.586
62,mtART+F+I,9486.369,119,19210.738,19326.836,19675.152
63,mtART+F+G4,9109.861,119,18457.723,18573.820,18922.136
64,mtART+F+I+G4,9106.978,120,18453.955,18572.486,18922.271
65,mtZOA,9793.192,99,19784.384,19858.820,20170.744
66,mtZOA+I,9587.014,100,19374.029,19450.255,19764.292
67,mtZOA+G4,9160.133,100,18520.266,18596.492,18910.529
68,mtZOA+I+G4,9157.128,101,18516.256,18594.301,18910.422
69,mtZOA+F,9371.268,118,18978.536,19092.236,19439.047
70,mtZOA+F+I,9184.501,119,18607.002,18723.099,19071.415
71,mtZOA+F+G4,8898.105,119,18034.211,18150.308,18498.624
72,mtZOA+F+I+G4,8893.773,120,18027.545,18146.076,18495.861
73,VT,9159.799,99,18517.597,18592.033,18903.958
74,VT+I,8982.043,100,18164.086,18240.313,18554.350
75,VT+G4,8791.128,100,17782.255,17858.482,18172.519
76,VT+I+G4,8785.158,101,17772.316,17850.362,18166.482
77,VT+F,9158.380,118,18552.760,18666.460,19013.271
78,VT+F+I,8984.944,119,18207.887,18323.985,18672.301
79,VT+F+G4,8803.404,119,17844.808,17960.905,18309.221
80,VT+F+I+G4,8797.379,120,17834.757,17953.288,18303.073
81,LG,9131.573,99,18461.146,18535.582,18847.506
82,LG+I,8945.899,100,18091.799,18168.025,18482.062
83,LG+G4,8727.180,100,17654.360,17730.586,18044.623
84,LG+I+G4,8721.198,101,17644.395,17722.441,18038.561
85,LG+F,9100.717,118,18437.433,18551.134,18897.944
86,LG+F+I,8922.353,119,18082.706,18198.803,18547.119
87,LG+F+G4,8718.131,119,17674.262,17790.359,18138.675
88,LG+F+I+G4,8712.227,120,17664.454,17782.985,18132.770
89,DCMut,9226.737,99,18651.473,18725.909,19037.834
90,DCMut+I,9031.680,100,18263.360,18339.587,18653.624
91,DCMut+G4,8831.508,100,17863.015,17939.242,18253.279
92,DCMut+I+G4,8824.211,101,17850.422,17928.468,18244.588
93,DCMut+F,9210.509,118,18657.018,18770.718,19117.528
94,DCMut+F+I,9020.530,119,18279.060,18395.158,18743.474
95,DCMut+F+G4,8824.643,119,17887.287,18003.384,18351.700
96,DCMut+F+I+G4,8817.517,120,17875.035,17993.566,18343.351
97,PMB,9274.145,99,18746.290,18820.727,19132.651
98,PMB+I,9097.453,100,18394.907,18471.133,18785.170
99,PMB+G4,8904.688,100,18009.376,18085.602,18399.639
100,PMB+I+G4,8898.629,101,17999.259,18077.304,18393.425
101,PMB+F,9279.845,118,18795.690,18909.390,19256.200
102,PMB+F+I,9108.046,119,18454.093,18570.191,18918.506
103,PMB+F+G4,8924.904,119,18087.807,18203.905,18552.220
104,PMB+F+I+G4,8919.048,120,18078.096,18196.627,18546.412
105,HIVb,9273.803,99,18745.606,18820.042,19131.966
106,HIVb+I,9079.144,100,18358.289,18434.515,18748.552
107,HIVb+G4,8790.073,100,17780.145,17856.372,18170.409
108,HIVb+I+G4,8787.791,101,17777.582,17855.628,18171.748
109,HIVb+F,9255.677,118,18747.354,18861.055,19207.865
110,HIVb+F+I,9058.979,119,18355.957,18472.055,18820.370
111,HIVb+F+G4,8795.181,119,17828.361,17944.459,18292.775
112,HIVb+F+I+G4,8792.295,120,17824.590,17943.120,18292.906
113,HIVw,9652.177,99,19502.355,19576.791,19888.716
114,HIVw+I,9458.959,100,19117.917,19194.144,19508.181
115,HIVw+G4,9180.993,100,18561.986,18638.213,18952.249
116,HIVw+I+G4,9177.074,101,18556.148,18634.194,18950.314
117,HIVw+F,9539.957,118,19315.915,19429.615,19776.426
118,HIVw+F+I,9341.250,119,18920.501,19036.598,19384.914
119,HIVw+F+G4,9067.445,119,18372.891,18488.988,18837.304
120,HIVw+F+I+G4,9064.023,120,18368.046,18486.577,18836.362
121,JTTDCMut,9036.756,99,18271.512,18345.948,18657.872
122,JTTDCMut+I,8854.977,100,17909.953,17986.180,18300.217
123,JTTDCMut+G4,8649.203,100,17498.406,17574.633,17888.670
124,JTTDCMut+I+G4,8643.423,101,17488.846,17566.892,17883.012
125,JTTDCMut+F,9031.291,118,18298.581,18412.282,18759.092
126,JTTDCMut+F+I,8853.194,119,17944.388,18060.486,18408.801
127,JTTDCMut+F+G4,8658.851,119,17555.702,17671.800,18020.116
128,JTTDCMut+F+I+G4,8653.094,120,17546.188,17664.719,18014.504
