No.,Model,-LnL,df,AIC,AICc,BIC
1,Dayhoff,8738.858,113,17703.716,17767.965,18183.307
2,Dayhoff+I,8700.269,114,17628.539,17694.089,18112.374
3,Dayhoff+G4,8554.676,114,17337.351,17402.901,17821.186
4,Dayhoff+I+G4,8554.956,115,17339.911,17406.778,17827.990
5,Dayhoff+F,8569.106,132,17402.213,17494.129,17962.443
6,Dayhoff+F+I,8525.859,133,17317.718,17411.272,17882.192
7,Dayhoff+F+G4,8359.965,133,16985.930,17079.484,17550.404
8,Dayhoff+F+I+G4,8359.913,134,16987.826,17083.036,17556.544
9,mtMAM,9700.773,113,19627.546,19691.795,20107.137
10,mtMAM+I,9575.386,114,19378.772,19444.322,19862.607
11,mtMAM+G4,9175.501,114,18579.003,18644.553,19062.838
12,mtMAM+I+G4,9174.831,115,18579.662,18646.529,19067.741
13,mtMAM+F,8897.207,132,18058.413,18150.329,18618.643
14,mtMAM+F+I,8809.150,133,17884.301,17977.854,18448.775
15,mtMAM+F+G4,8538.766,133,17343.532,17437.086,17908.006
16,mtMAM+F+I+G4,8538.226,134,17344.452,17439.662,17913.170
17,JTT,8438.156,113,17102.312,17166.561,17581.903
18,JTT+I,8398.299,114,17024.598,17090.148,17508.433
19,JTT+G4,8290.945,114,16809.890,16875.440,17293.725
20,JTT+I+G4,8290.944,115,16811.888,16878.755,17299.967
21,JTT+F,8292.851,132,16849.703,16941.619,17409.933
22,JTT+F+I,8254.771,133,16775.541,16869.095,17340.015
23,JTT+F+G4,8139.909,133,16545.819,16639.372,17110.293
24,JTT+F+I+G4,8139.861,134,16547.721,16642.932,17116.440
25,WAG,8574.337,113,17374.674,17438.923,17854.265
26,WAG+I,8535.347,114,17298.694,17364.244,17782.529
27,WAG+G4,8402.875,114,17033.751,17099.301,17517.586
28,WAG+I+G4,8403.132,115,17036.263,17103.131,17524.343
29,WAG+F,8405.731,132,17075.461,17167.378,17635.691
30,WAG+F+I,8368.839,133,17003.677,17097.231,17568.151
31,WAG+F+G4,8223.825,133,16713.651,16807.205,17278.125
32,WAG+F+I+G4,8224.036,134,16716.071,16811.282,17284.790
33,cpREV,8705.722,113,17637.444,17701.694,18117.035
34,cpREV+I,8662.455,114,17552.910,17618.460,18036.745
35,cpREV+G4,8484.458,114,17196.915,17262.465,17680.750
36,cpREV+I+G4,8484.668,115,17199.335,17266.203,17687.415
