No.,Model,-LnL,df,AIC,AICc,BIC
99,PMB+G4,7041.221,52,14186.442,14238.442,14346.025
100,PMB+I+G4,7041.221,53,14188.442,14242.957,14351.094
101,PMB+F,7102.404,70,14344.808,14457.762,14559.631
102,PMB+F+I,7102.400,71,14346.800,14464.317,14564.692
103,PMB+F+G4,7011.444,71,14164.887,14282.405,14382.780
104,PMB+F+I+G4,7011.440,72,14166.880,14289.112,14387.841
105,HIVb,7322.910,51,14747.820,14797.390,14904.334
106,HIVb+I,7322.899,52,14749.798,14801.798,14909.381
107,HIVb+G4,7147.317,52,14398.635,14450.635,14558.218
108,HIVb+I+G4,7147.315,53,14400.630,14455.144,14563.282
109,HIVb+F,7299.746,70,14739.492,14852.446,14954.315
110,HIVb+F+I,7299.694,71,14741.389,14858.906,14959.281
111,HIVb+F+G4,7111.156,71,14364.311,14481.828,14582.203
112,HIVb+F+I+G4,7111.147,72,14366.294,14488.527,14587.256
113,HIVw,7537.103,51,15176.207,15225.777,15332.721
114,HIVw+I,7537.100,52,15178.201,15230.201,15337.784
115,HIVw+G4,7371.829,52,14847.658,14899.658,15007.241
116,HIVw+I+G4,7371.826,53,14849.652,14904.166,15012.304
117,HIVw+F,7422.963,70,14985.925,15098.880,15200.749
118,HIVw+F+I,7422.957,71,14987.914,15105.431,15205.806
119,HIVw+F+G4,7260.366,71,14662.732,14780.249,14880.624
120,HIVw+F+I+G4,7260.359,72,14664.719,14786.951,14885.680
121,JTTDCMut,7192.935,51,14487.870,14537.440,14644.384
122,JTTDCMut+I,7192.900,52,14489.801,14541.801,14649.384
123,JTTDCMut+G4,7056.020,52,14216.040,14268.040,14375.623
124,JTTDCMut+I+G4,7056.023,53,14218.046,14272.560,14380.698
125,JTTDCMut+F,7168.061,70,14476.122,14589.077,14690.946
126,JTTDCMut+F+I,7168.054,71,14478.108,14595.625,14696.000
127,JTTDCMut+F+G4,7030.733,71,14203.465,14320.982,14421.357
128,JTTDCMut+F+I+G4,7030.728,72,14205.456,14327.689,14426.417
129,FLU,7226.512,51,14555.023,14604.593,14711.537
130,FLU+I,7226.506,52,14557.012,14609.012,14716.595
131,FLU+G4,7083.234,52,14270.467,14322.467,14430.050
132,FLU+I+G4,7083.232,53,14272.465,14326.979,14435.117
133,FLU+F,7186.291,70,14512.581,14625.536,14727.405
134,FLU+F+I,7186.282,71,14514.564,14632.082,14732.457
135,FLU+F+G4,7043.722,71,14229.444,14346.961,14447.336
136,FLU+F+I+G4,7043.722,72,14231.444,14353.676,14452.405
137,Blosum62,7135.575,51,14373.150,14422.720,14529.664
138,Blosum62+I,7135.558,52,14375.115,14427.115,14534.698
139,Blosum62+G4,7040.326,52,14184.653,14236.653,14344.236
140,Blosum62+I+G4,7040.326,53,14186.653,14241.167,14349.305
141,Blosum62+F,7104.405,70,14348.809,14461.764,14563.632
142,Blosum62+F+I,7104.388,71,14350.775,14468.293,14568.668
143,Blosum62+F+G4,7009.666,71,14161.332,14278.849,14379.224
144,Blosum62+F+I+G4,7009.661,72,14163.322,14285.555,14384.283
145,mtMet,7659.578,51,15421.156,15470.726,15577.670
146,mtMet+I,7659.498,52,15422.996,15474.996,15582.579
147,mtMet+G4,7396.034,52,14896.068,14948.068,15055.651
148,mtMet+I+G4,7396.034,53,14898.068,14952.582,15060.719
149,mtMet+F,7311.227,70,14762.454,14875.409,14977.277
150,mtMet+F+I,7311.202,71,14764.405,14881.922,14982.297
151,mtMet+F+G4,7101.190,71,14344.380,14461.898,14562.273
152,mtMet+F+I+G4,7101.179,72,14346.358,14468.591,14567.319
153,mtVer,7751.133,51,15604.266,15653.836,15760.780
154,mtVer+I,7751.131,52,15606.261,15658.261,15765.844
155,mtVer+G4,7458.292,52,15020.584,15072.584,15180.167
156,mtVer+I+G4,7458.287,53,15022.575,15077.089,15185.227
157,mtVer+F,7412.122,70,14964.243,15077.198,15179.067
158,mtVer+F+I,7412.111,71,14966.222,15083.740,15184.115
159,mtVer+F+G4,7174.021,71,14490.041,14607.559,14707.934
160,mtVer+F+I+G4,7173.994,72,14491.987,14614.220,14712.948
161,mtInv,7673.359,51,15448.718,15498.289,15605.233
162,mtInv+I,7673.334,52,15450.667,15502.667,15610.250
163,mtInv+G4,7440.136,52,14984.271,15036.271,15143.854
164,mtInv+I+G4,7440.134,53,14986.267,15040.782,15148.919
165,mtInv+F,7255.447,70,14650.895,14763.850,14865.718
166,mtInv+F+I,7255.436,71,14652.872,14770.389,14870.764
167,mtInv+F+G4,7067.203,71,14276.406,14393.923,14494.298
168,mtInv+F+I+G4,7067.185,72,14278.370,14400.602,14499.331
