No.,Model,-LnL,df,AIC,AICc,BIC
137,Blosum62,20565.691,69,41269.382,41278.564,41615.959
138,Blosum62+I,20074.071,70,40288.141,40297.599,40639.742
139,Blosum62+G4,19608.985,70,39357.970,39367.428,39709.571
140,Blosum62+I+G4,19609.346,71,39360.691,39370.428,39717.315
141,Blosum62+F,20455.042,88,41086.083,41101.247,41528.096
142,Blosum62+F+I,19957.505,89,40093.010,40108.534,40540.046
143,Blosum62+F+G4,19518.437,89,39214.875,39230.398,39661.910
144,Blosum62+F+I+G4,19518.082,90,39216.163,39232.051,39668.221
145,mtMet,21198.222,69,42534.444,42543.626,42881.022
146,mtMet+I,20704.421,70,41548.842,41558.300,41900.443
147,mtMet+G4,19919.071,70,39978.143,39987.600,40329.744
148,mtMet+I+G4,19917.076,71,39976.152,39985.889,40332.776
149,mtMet+F,20124.371,88,40424.742,40439.906,40866.754
150,mtMet+F+I,19612.047,89,39402.094,39417.618,39849.130
151,mtMet+F+G4,19069.011,89,38316.022,38331.545,38763.057
152,mtMet+F+I+G4,19066.410,90,38312.820,38328.708,38764.879
153,mtVer,21285.240,69,42708.481,42717.663,43055.058
154,mtVer+I,20805.839,70,41751.678,41761.136,42103.279
155,mtVer+G4,19916.342,70,39972.684,39982.142,40324.285
156,mtVer+I+G4,19914.051,71,39970.102,39979.839,40326.726
157,mtVer+F,20300.867,88,40777.733,40792.897,41219.746
158,mtVer+F+I,19770.777,89,39719.554,39735.077,40166.589
159,mtVer+F+G4,19202.877,89,38583.755,38599.278,39030.790
160,mtVer+F+I+G4,19199.373,90,38578.746,38594.633,39030.804
161,mtInv,21402.180,69,42942.361,42951.543,43288.939
162,mtInv+I,20894.687,70,41929.374,41938.832,42280.975
163,mtInv+G4,20196.371,70,40532.742,40542.200,40884.343
164,mtInv+I+G4,20194.634,71,40531.267,40541.004,40887.891
165,mtInv+F,20132.264,88,40440.529,40455.692,40882.541
166,mtInv+F+I,19626.392,89,39430.783,39446.306,39877.818
167,mtInv+F+G4,19118.563,89,38415.125,38430.649,38862.161
168,mtInv+F+I+G4,19116.345,90,38412.690,38428.578,38864.748
